normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
leader price,leader price,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,390,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Lait de coco | 100% pur jus orange | Jus d'orange | Pur jus d'orange sanguine de Sicile pressée avec pulpe | Qualité filtre extra,Leader Price | Leader Price | Leader Price | Leader Price | Leader Price,append_candidate,,
white castle,white castle,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,390,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"White Castle, Crave Cooler Fanta Wild Cherry, Large | White Castle, Chocolate Shake, St Louis Only, Large | White Castle, Mello Yello, Small | White Castle, Strawberry Shake, Chicago Region, Medium | White Castle, Chocolate Milk",White Castle | White Castle | White Castle | White Castle | White Castle,append_candidate,,
trader joes,trader joes,Manual review / complex ownership,manual_review,snacks,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,388,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Potato chips | Organic Brown Rice Cake Thins | Peanut Butter Filled Pretzel Nuggets | Dark Chocolate Collection truffles | Crispy Crunchy Chocolate Chip Cookies,Trader Joe's | Trader Joe’s | Trader Joe's | Trader Joes | Trader Joe's,append_candidate,,
cora,cora,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,365,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Sirop de citron | Eau pétillante | JUS D ORANGE FRAIS 1 LITRE | Jus Pomme | 100 % pur jus, Raisin",Cora | Cora | Cora | Cora | Cora,append_candidate,,
yoplait,yoplait,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Other / not mapped to a company,360,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Fraise, Pêche, Cerise, Ananas, Abricot, Mûre) 4 Pots | Panier de Yoplait Exotique (Ananas, Coco, Mangue) 8 Pots | Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Cerise, Fraise, Framboise, Mûre) 8 Pots | Panier de Yoplait Cerise, Fraise, Framboise, Mûre | Panier de Yoplait Pêche, Poire | Perle de Lait (Fraise) 4 Pots | Perle de Lait Coco en fins éclats (8 pots) | Perle de Lait (Caramel) 4 Pots | Perle de Lait (Nature) 4 Pots | Perle de Lait (Coco en fins éclats) 8 Pots - Offre Économique | Yaourt sucré, aux fruits, aromatisé | Panier de Yoplait Fraise - Framboise | Panier de Yoplait Plus de fruits | PANIER DE YOPLAIT | Panier de Yoplait j'aime la rhubarbe | Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée au citron, aromatisée | Spécialité laitière sucrée, aromatisée | Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée, au citron, aromatisée | Yop, Fraise | Yop litchi | Yop Vanille | Yop, Parfum Fraise-Banane | Yop, Parfum Framboise (Offre Economique) | Fromage Blanc Battu au Lait Demi-écrémé | Fromage Frais Calin 20% M.G. | Calin Poire et Ananas | Yoplait Calin | Calin+ Fruits Pêche, Abricot, Fraise, Framboise) | Dessert lacté au chocolat | Yop: Ananas Pêche Céréales | Yaourt à boire sucré aromatisé | Yop parfum coco | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire","Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Perle de Lait, Yoplait | Perle de Lait,Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop,Yoplait | Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin+, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Panier 0%, Yoplait | Panier 0%, Yoplait | Panier 0%, Panier de Yoplait, Yoplait | Panier 0%, Yoplait | Panier 0%, Yoplait | Perle de lait nature, Yoplait, spécialités laitières | Perle de lait nature, Yoplait | Perle de lait nature, Yoplait | Perle de lait nature, Yoplait | Perle de lait nature, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits Filous, Yoplait | Petits Filous, Yopl",append_candidate,,
cora,cora,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,352,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Fromage fouetté | Lait demi-écrémé | Yaourt a boire | Comte 18 mois | gruyere IGP,Cora | Cora | Cora | Cora | cora,append_candidate,,
lu,lu,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,351,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,PIM'S | Pépito chocolat au lait | Lulu la barquette | La barquette LULU | Tuiles amandes (aux amandes effilees) | LU La Paille d'Or aux Framboises | Dinosaurus Chocolat | Pépito pockitos chocolat noir | Pépito Chocolat au lait | Edition Spéciale LU | Pépito chocolat au lait,"LU | LU | LU | Lu | LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Food, Lu, Mondelez, Pépito, Unilever",append_candidate,,
sheetz,sheetz,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,350,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Sheetz, Frozen Latte, Medium | Sheetz, Hot Apple Cider, Medium | Sheetz, Shmart Java Latte, Medium | Sheetz, Hero Milkshake | Sheetz, Root Beer Float",Sheetz | Sheetz | Sheetz | Sheetz | Sheetz,append_candidate,,
tropicana,tropicana,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,342,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Ruby breakfast | Pur Jus d'orange de Floride | Jus D'orange Pur | Jus d'orange | Orange Juice - No Pulp (3.78L),Tropicana | Tropicana | Tropicana | Tropicana | Tropicana,append_candidate,,
chabrior,chabrior,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,338,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Caofret' | BRIEFING | Palmiers | Préparation cookie chocolat | Brioche tranchée | Mini rochers coco au chocolat | Lunettes chocolat noisette | Atout chock lait & cacao,"Chabrior | Chabrior | Chabrior | Chabrior | Chabrior | Intermarché,Chabrior | Intermarché,Chabrior | Intermarché,Chabrior",append_candidate,,
meijer,meijer,Manual review / complex ownership,manual_review,snacks,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,336,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Cookies chocolate chip | Potato Chips | Jumbo flaky | Chocolate fudge brownie mix | Classic potato chips,Meijer | Meijer | Meijer | Meijer | Meijer,append_candidate,,
netto,netto,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,336,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Beurre gastronomique demi-sel | Comté | Comté | comté | Comté,Netto | Netto | Netto | Netto | Netto,append_candidate,,
great value,great value,Manual review / complex ownership,manual_review,dairies,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,321,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Greek Nonfat Yogurt Plain | Shredded sharp cheddar | Sliced Cheese | Ghee | Whole milk,Great Value | Great Value | Great Value | Great Value | Great Value,append_candidate,,
taco bell,taco bell,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,318,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Taco Bell, G2 Fruit Punch, 20 Fl Oz | Taco Bell, Orange Cream Pop Freeze, 32 Fl Oz | Taco Bell, Tropicana Lemonade, 16 Fl Oz | Taco Bell, Rum, 80 Proof, Single | Taco Bell, Blue Raspberry Freeze, 32 Fl Oz",Taco Bell | Taco Bell | Taco Bell | Taco Bell | Taco Bell,append_candidate,,
great value,great value,Manual review / complex ownership,manual_review,snacks,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,301,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Pretzel balls, parmesan garlic | Sea Salt Pita Crackers | Original potato chips | Great value, potato chips snack bags, barbecue | Buttermilk Biscuits","Great Value | Great Value | Great Value | Great Value, Wal-Mart Stores Inc. | Great Value",append_candidate,,
saveurs de nos regions,saveurs de nos regions,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,300,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,crème de Bresse épaisse | Roquefort au lait cru de brebis | Saint nectaire laitier | Faisselle de Bresse Moulée à la main | Reblochon de Savoie | Beurre aux cristaux de sel | Sainte - Maure de Touraine | Comté au lait cru | Raclette de savoie au lait cru | Reblochon,"Saveurs de nos régions | Saveurs de nos Régions | Saveurs de nos régions | Saveurs de nos régions | Saveurs de nos Régions | Lidl, Saveurs de nos régions | Lidl, Saveurs De Nos Régions | Lidl, saveurs de nos régions | Lidl, Saveurs de nos Régions | Lidl, Saveurs de Nos Régions",append_candidate,,
picard,picard,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,289,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"10 mini-pains au chocolat, pur beurre | Shortbread millionnaire | Brioche Tranchée Pur Beurre Surgelelée Deja Cuite 275 g | Opéra | Petit trianon - Croquant au chocolat",Picard | Picard | Picard | Picard | Picard,append_candidate,,
milbona,milbona,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,281,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Goldessa | Mozzarella | Yaourt nature | Edam | Mon petit plaisir | Fromage à tartiner ail et fines herbes | Créfé Ail & Fines Herbes | Yogourt fraise | TIRAMISÙ | Yaourt ananas passion,"Milbona | Milbona | Milbona | Milbona | Milbona | Lidl, Milbona | Lidl, Milbona | Lidl,Milbona | Lidl, Milbona | Lidl, Lidl Stiftung & Co. KG, Milbona, Yogosan, Envia",append_candidate,,
sondey,sondey,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,280,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Envitas Saveur Chocolat-Noisette | Envitas Yaourt | grandino | Biscuits tablette chocolat noir | Mini Brownie | Biscuits au Choco nussa | BIO Mini lunettes | Tartelettes chocolat au lait et caramel | Gaufres de liège choco | Envitas Céréales & Pépites de Chocolat,"Sondey | Sondey | sondey | Sondey | Sondey | Lidl, Sondey | Lidl, Sondey | Lidl, Sondey | Lidl,sondey | Lidl, Sondey",append_candidate,,
Milka,milka,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,273,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Bonbon au pain d’epices | Mini cookies | Cookies | Muffins Milka | Milka choco muffin | Milka - Noisette Entières - Maxi Format | Saint Nicolas Chocolat au Lait | Choco Cookie Raisins Pieguski | Tablette de chocolat | Sensations cookies Oreo cream | Chocolat au lait du Pays Alpin | Chocolat Noisettes entières | Oeufs de Pâques Tendre au lait Milka | Chocolat au lait du Pays Alpin | Chocolat Noisettes entières (Lot de 2) | Chocolat au lait du Pays Alpin Lot Familial | Mini Tablettes | Milka LU | Milka LU | Les Succulent - Chocolat blanc éclats de spéculoos | Mini Muffin Milka,"Milka | Milka | Milka | Milka | Milka | Milka, Mondelez | Milka, Mondelez | Milka,Mondelez | Milka, Mondelez | Milka,Mondelez | Kraft Foods, Milka | Kraft Foods, Milka | Kraft Foods, Milka | Kraft Foods, Milka | Kraft Foods, Milka | Kraft Foods, Milka, Mondelez | Kraft Foods, Milka, Mondelez | LU, Milka, Mondelez | LU, Milka, Mondelez | Intermarche, Ivoria, Les Créations Ivoria, Milka | Leclerc, Milka",append_candidate,,
belle france,belle france,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,267,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Crackers aux 3 graines | Crackers Emmental & graines | Sticks et bretzels | Sticks et Bretzels Salés | Tuiles goût épicé,"Belle France, Le Réflexe Bio | Belle France, Le Réflexe Bio | Belle France | Belle France | Belle France",append_candidate,,
great value,great value,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,266,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Hydrate Alkaline Water | Cream Soda | Purified drinking water | Great value, drink mix, strawberry watermelon | 100% orange juice | Simply clear energy drink enhancer","Great value | Great Value | Great Value | Great Value | Great Value | Simply, Great Value",append_candidate,,
kinder,kinder,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,265,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Schokobons | Cere Alé | Crunchy Cookies | Bueno | Kinder bueno | Kinder Bueno | Kinder bueno | BOX KINDER MAXI MINI 340 pcs | Barre maxi x 4 | Barres chocolat | Gâteau Kinder Délice cacao et fourré lait - 20x39 g,"Kinder | Kinder | Kinder | Kinder | Kinder | Ferrero, Kinder, Kinder Bueno | Ferrero, Kinder | Ferrero, Kinder | Ferrero, Kinder | Ferrero, Kinder | Ferrero group, Kinder",append_candidate,,
bio village,bio village,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,263,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Beurre moulé demi-sel | Fromage frais nature | Bûche de chèvre | Feta Aop,Bio Village | Bio Village | Bio Village | Bio Village | Bio Village,append_candidate,,
meijer,meijer,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,258,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Meijer, encore!, cola | 100% Juice prune | Juice cocktail | Cranberry | Juice cocktail from concentrate, cranberry, raspberry","Meijer, Meijer Inc. | Meijer, Meijer Inc. | Meijer, Meijer Inc. | Meijer, Meijer Inc. | Meijer, Meijer Inc.",append_candidate,,
elle & vire,elle & vire,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,255,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Crème de Normandie épaisse entière 30% | Carré frais | La crème entière de Normandie semi-épaisse | Carré Frais nature 0% | Crème entière de Normandie,"Elle & Vire, Savencia | Elle & Vire, Savencia | Elle & Vire, Savencia | Elle & Vire | Elle & Vire, Savencia",append_candidate,,
russell stover,russell stover,Manual review / complex ownership,manual_review,snacks,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,254,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Marshmallow Santa Covered In Milk Chocolate | Assorted Fine Chocolates | Russell stover, milk chocolate caramel latte | Russell stover, big chocolate bite, hot cocoa, marshmallow | Red Velet In Dark Dark Chocolate","Russell Stover | Russell Stover | Russell Stover, Russell Stover Candies Inc. | Russell Stover, Russell Stover Candies Inc. | Russell Stover",append_candidate,,
belle france,belle france,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,249,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,fromage blanc nature | beurre doux | Fourme d'Ambert | Reblochon de Savoie | Tomme de Savoie IGP,"Belle France | Belle France | Belle France, Les Délices de Belle France | Belle France, Les Délices de Belle France | Belle France",append_candidate,,
