normalized_brand,brand_family,current_company_owner,proposed_company_owner,proposed_action,proposal_reason,query_category,primary_country,observed_market_region_codes,product_count,legacy_primary_brand_examples,brand_entity_raw_examples,brand_entity_source_examples,brand_alias_source_examples,brand_alias_review_status_examples,example_product_names,example_off_brands_raw,example_image_urls,example_barcodes,julia_decision,julia_company_override,julia_note
casino,casino,Manual review,Casino Group,map_to_company,obvious French retailer/private-label banner,snacks,France,FRANCE,493,casino,casino,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Panettone aux raisin secs et aux écorces d orange confit | p'tits biscuits fourrage au lait bio | Cookies tout chocolat | Brownie familial | Crackers salés Casino,"Casino | casino | Casino, Vival | Casino, Casino Commerce Equitable | Casino, Sans marque",https://images.openfoodfacts.org/images/products/000/001/595/7979/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/621/7386/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/639/7934/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/838/7964/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/200/000/004/7793/front_fr.4.400.jpg,15957979 | 16217386 | 16397934 | 18387964 | 2000000047793,,,
leclerc,leclerc,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc retailer/private-label banner,snacks,France,FRANCE,464,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,PATE D'OURS | pain chocolat × 4 pur beurre | Brownies cuit x3 | Pain choco x4 | Croissants x5,"Leclerc | leclerc | Leclerc, Les 3 Meuniers | Leclerc, Stéphan Pâtisserie | Leclerc, Les-3-meuniers",https://images.openfoodfacts.org/images/products/120/453/102/0332/front_fr.8.400.jpg | https://images.openfoodfacts.org/images/products/000/001/741/3131/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/190/000/000/5601/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/190/000/001/1275/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/190/000/002/9089/front_fr.3.400.jpg,1204531020332 | 17413131 | 1900000005601 | 1900000011275 | 1900000029089,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,dairies,France,FRANCE,293,marque repere | les croises | cote croc | soutenons nos agriculteurs | eskiss,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,coeur de crème | Fromage blanc | Camembert Les Croisés | Fromage de chèvre | Emmental,"Marque Repère, E.Leclerc, les croisés | Marque Repère | Marque Repère, Leclerc, Les Croisés | Marque Repère, Leclerc | Marque Repère, Les Croisés",https://images.openfoodfacts.org/images/products/000/001/260/6467/front_fr.18.400.jpg | https://images.openfoodfacts.org/images/products/135/647/000/7407/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/200/000/005/9693/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/020/303/802/9788/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/286/036/002/3167/front_fr.4.400.jpg,12606467 | 1356470007407 | 2000000059693 | 203038029788 | 2860360023167,,,
leclerc,leclerc,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc retailer/private-label banner,dairies,France,FRANCE,249,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,BUCHE CHEVRE | Chantilly | Cantal Vieux AOP | Brillat savarin | Emmental longe lait cru,"LECLERC | Leclerc | Leclerc, traditions terroirs | leclerc | Leclerc, Nos Régions ont du Talent",https://images.openfoodfacts.org/images/products/186/003/601/6929/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/200/000/000/9223/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/020/035/502/1846/front_fr.16.400.jpg | https://images.openfoodfacts.org/images/products/020/047/002/3558/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/020/077/701/7519/front_fr.6.400.jpg,1860036016929 | 2000000009223 | 200355021846 | 200470023558 | 200777017519,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,United States,US_CANADA,197,lipton | pure leaf,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,"Lipton Lemon Iced Tea 20 Fluid Ounce Plastic Bottle | Iced tea | Diet Iced Tea, Lemon Flavor With Other Natural Flavors | Diet iced tea | Green tea","Lipton, Unilever | Lipton,Unilever | Lipton | lipton | Lipton,Brisk",https://images.openfoodfacts.org/images/products/001/200/001/2709/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/001/200/001/2730/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/001/200/001/2754/front_en.20.400.jpg | https://images.openfoodfacts.org/images/products/001/200/001/2792/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/001/200/001/7001/front_en.5.400.jpg,12000012693 | 12000012709 | 12000012723 | 12000012730 | 12000012754,,,
u,u,Manual review,Coopérative U,map_to_company,obvious French retailer/private-label banner,cereals,France,FRANCE,103,u,u,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Céréales chocolatées et fourrées au chocolat - 600g | Pétales Fruits Rouges | Muesli Croustillant aux 4 Noix | Céréales Muesli croustillant aux 4 noix paquet de 500g | Céréales Muesli croustillant aux fruits rouges doypack de 500g,"U | U, U Mat & Lou | U, U MUESLI CRANBERY",https://images.openfoodfacts.org/images/products/325/622/011/8460/front_fr.93.400.jpg | https://images.openfoodfacts.org/images/products/325/622/027/1318/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/325/622/039/4074/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/325/622/039/4079/front_fr.160.400.jpg | https://images.openfoodfacts.org/images/products/325/622/039/4086/front_fr.133.400.jpg,3256220118460 | 3256220271318 | 3256220394074 | 3256220394079 | 325622039407900,,,
kettle brand,kettle brand,Manual review,Campbell Soup Company,map_to_company,known Kettle Brand owner for MVP launch,snacks,United States,US_CANADA,71,kettle | diamond foods inc,kettle brand,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Potato Chips New York Cheddar | Potato Chips Sea Salt & Vinegar | Organic Potato Chips Sea Salt | Potato Chips Unsalted (US only) | Potato Chips Sea Salt,"kettle,Diamond Foods Inc., Kettle Brand | Kettle, Kettle Brand | Kettle Brand | Kettle, krinkle cut, Kettle Brand | Kettle, Kettle Foods Inc., Kettle Brand",https://images.openfoodfacts.org/images/products/008/411/400/9944/front_en.16.400.jpg | https://images.openfoodfacts.org/images/products/008/411/400/9968/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/008/411/400/9975/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/008/411/403/2164/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/008/411/403/2409/front_en.6.400.jpg,84114009944 | 84114009968 | 84114009975 | 84114009999 | 84114032164,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,cereals,France,FRANCE,68,marque repere | brin de jour | day break | chaque jour sans gluten,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Müesli 4 noix | Corn flakes | Blé soufflé au caramel | Corn flakes sucrés | Riz Soufflé au Chocolat,"Marque Repère | Marque Repère, Brin de Jour | Marque Repère, Brin de jour | Marque Repère, Brin de Jour, Day Break | Marque Repère, Day Break",https://images.openfoodfacts.org/images/products/000/000/173/1583/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/356/470/001/0716/front_fr.11.400.jpg | https://images.openfoodfacts.org/images/products/356/470/001/0723/front_fr.19.400.jpg | https://images.openfoodfacts.org/images/products/356/470/001/0730/front_fr.22.400.jpg | https://images.openfoodfacts.org/images/products/356/470/001/0747/front_fr.14.400.jpg,1731583 | 3564700010716 | 3564700010723 | 3564700010730 | 3564700010747,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,Belgium,BENELUX|FRANCE,59,lipton,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Lipton Thé Vert Citron 25 Sachets | Lipton Ice Tea saveur pêche 2 L | Green Ice Tea saveur Litchi Jasmin | Ice tea | Green Tea Citrus,"Lipton, Unilever | Lipton | Lipton, Lipton Ice tea | lipton",https://images.openfoodfacts.org/images/products/322/888/107/4904/front_en.53.400.jpg | https://images.openfoodfacts.org/images/products/350/211/000/5922/front_fr.220.400.jpg | https://images.openfoodfacts.org/images/products/350/211/000/7551/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/371/756/638/7014/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/541/003/380/4165/front_fr.3.400.jpg,3228881074904 | 3502110005922 | 3502110007551 | 3717566387014 | 5410033804165,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,France,FRANCE|DACH,56,lipton | ice tea | nestle | exclusive selection,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,lipton green ice tea goût menthe citron | Lipton Green Ice Tea saveur cranberry & fraise des bois 1 L | Lipton Yellow Thé Noir 200g Vrac | Thé Vert Menthe (25 sachets enveloppés) | 100 St Fraicheur the Yellow Lipton,"lipton | Lipton | Lipton, Unilever | lipton, unilever | Lipton, ice tea",https://images.openfoodfacts.org/images/products/000/001/060/8074/front_fr.5.400.jpg | https://images.openfoodfacts.org/images/products/316/893/016/2452/front_fr.21.400.jpg | https://images.openfoodfacts.org/images/products/322/888/100/1801/front_fr.29.400.jpg | https://images.openfoodfacts.org/images/products/322/888/101/9073/front_fr.28.400.jpg | https://images.openfoodfacts.org/images/products/322/888/101/9318/front_fr.9.400.jpg,10608074 | 3168930162452 | 3228881001801 | 3228881019073 | 3228881019318,,,
Cadbury,Cadbury,Manual review,Other / not mapped to a company,replace_with_other,mixed US/non-US Cadbury scope; use Other unless manually split later,snacks,France,FRANCE|US_CANADA,55,cadbury,Cadbury,existing_company_brand_mapping_token_match | top9_portfolio_token_match,curated_mechanical_brand_alias,confirmed,Curly Wurly Chocolate Bar | Cadbury wispa chocolate bar | Cadbury creme egg chocolate eggs | Milk chocolate with popping candy | Cadbury dairy milk chocolate bar,"Cadbury | Cadbury, Mondelez | Cadbury, Ryedale Farm | Cadbury, Oreo | Cadbury, Redbull",https://images.openfoodfacts.org/images/products/503/466/050/5181/front_en.18.400.jpg | https://images.openfoodfacts.org/images/products/503/466/052/0825/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/503/466/052/1648/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/762/221/017/0507/front_en.16.400.jpg | https://images.openfoodfacts.org/images/products/762/221/024/1672/front_fr.3.400.jpg,5034660505181 | 5034660520825 | 5034660521648 | 7622210129604 | 7622210170507,,,
Kellogg's,Kellogg's,Manual review,Other / not mapped to a company,replace_with_other,Kellogg/Kellanova/WK Kellogg ownership is complex; avoid Manual review label by using Other for launch,cereals,France,FRANCE|US_CANADA,55,kellogg's,kellogg's,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,"Cereal | Corn flakes cereal | Kellogg's All Bran Cereal Complete Wheat Flakes .88oz | COCOA KRISPIES Chocolatey, Sweetened Rice Cereal | Crispix corn rice cereal","Kellogg's | Kellogg's, Special K | Kellogg's,Rice Krispies",https://images.openfoodfacts.org/images/products/003/800/000/1208/front_en.45.400.jpg | https://images.openfoodfacts.org/images/products/003/800/000/1277/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/003/800/000/6678/front_en.12.400.jpg | https://images.openfoodfacts.org/images/products/003/800/001/1610/front_en.10.400.jpg | https://images.openfoodfacts.org/images/products/003/800/003/5302/front_en.28.400.jpg,38000001208 | 38000001277 | 38000006678 | 38000011610 | 38000035302,,,
casino,casino,Manual review,Casino Group,map_to_company,obvious French retailer/private-label banner,cereals,France,FRANCE,46,casino,casino,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Corn flakes | Casino croustillant aux céréales et aux fruits | Muesli floconneux Fruits & Graines | Muesli aux 4 céréales et aux fruits | Muesli Croustillant Chocolat Noir Casino,"Casino | Casino, Les Doodingues | casino | Casino, DooDingues Bio, Les doodingues | Casino, DooDingues Bio",https://images.openfoodfacts.org/images/products/309/323/297/4475/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/322/247/197/4483/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/322/247/258/9464/front_fr.28.400.jpg | https://images.openfoodfacts.org/images/products/322/247/277/1975/front_fr.18.400.jpg | https://images.openfoodfacts.org/images/products/322/247/326/4865/front_fr.8.400.jpg,3093232974475 | 3222471974483 | 3222472589464 | 3222472771975 | 3222473264865,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,beverages,France,FRANCE,41,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Coconut drink | Sirop Caramel | Caffè latte | Frappuccino | Matcha Green Tea,"Starbucks | STARBUCKS | STARBUCKS, by NESPRESSO | STARBUCKS, Sunny day blend, by NESPRESSO",https://images.openfoodfacts.org/images/products/140/623/960/48069/front_fr.11.400.jpg | https://images.openfoodfacts.org/images/products/405/227/547/7625/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/410/029/002/4963/front_en.4.400.jpg | https://images.openfoodfacts.org/images/products/000/004/460/9957/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/452/478/527/9148/front_fr.3.400.jpg,14062396048069 | 4052275477625 | 4100290024963 | 44609957 | 4524785279148,,,
Chocapic,Chocapic,Manual review,Cereal Partners Worldwide,map_to_company,Nestlé cereal brand handled via CPW,cereals,France,FRANCE,38,nestle | chocapic,Chocapic,top9_portfolio_token_match | existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,chocapic sans huile palme | Chocapic | Chocapic Granola | Chocapic crunchy muesly | Chocapic Maxi Format,"Nestlé, Chocapic | Chocapic | Nestlé, Chocapic, General Mills | Nestlé,Chocapic | Nestlé, Cereals Partners, Chocapic",https://images.openfoodfacts.org/images/products/136/422/549/6178/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/677/9273/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/020/580/301/1165/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/211/862/644/0419/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/233/866/645/6564/front_fr.4.400.jpg,1364225496178 | 16779273 | 205803011165 | 2118626440419 | 2338666456564,,,
Cadbury,Cadbury,Manual review,Other / not mapped to a company,replace_with_other,mixed US/non-US Cadbury scope; use Other unless manually split later,snacks,France,FRANCE|UK_IE|US_CANADA,28,cadbury,Cadbury,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,twirl | CADBURY FLAKE 32G | Cadbury land chocolate bar fudge | Cadbury buttons chocolate pieces white chocolate | Dairy Milk buttons,"Cadbury | cadbury | Cadbury, Cadbury Dairy Milk | Cadbury, Original biscuit bakers",https://images.openfoodfacts.org/images/products/500/020/149/9776/front_en.72.400.jpg | https://images.openfoodfacts.org/images/products/000/005/020/1013/front_en.42.400.jpg | https://images.openfoodfacts.org/images/products/000/005/020/1464/front_en.11.400.jpg | https://images.openfoodfacts.org/images/products/000/005/020/1815/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/503/466/051/8679/front_en.6.400.jpg,5000201499776 | 50201013 | 50201464 | 50201815 | 5034660518679,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,France,FRANCE|SOUTHERN_EUROPE,28,lipton,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Lipton Green Tea 25'S Exp 09 | Ice tea pêssego | Lipton Ice Tea mangue | Lipton Ice Tea -lemon | Ice Tea Pêssego,"Lipton | Lipton, Unilever | lipton | Lipton, Lipton Ice tea",https://images.openfoodfacts.org/images/products/322/888/102/0956/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/560/116/500/4640/front_pt.4.400.jpg | https://images.openfoodfacts.org/images/products/560/116/500/4695/front_fr.12.400.jpg | https://images.openfoodfacts.org/images/products/560/116/500/5142/front_fr.21.400.jpg | https://images.openfoodfacts.org/images/products/560/116/500/5180/front_pt.33.400.jpg,3228881020956 | 5601165004640 | 5601165004695 | 5601165005142 | 5601165005180,,,
leclerc,leclerc,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc retailer/private-label banner,beverages,France,FRANCE,26,leclerc,leclerc,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,jafaden tropical | jus d'orange pressé | Jue d orange | Orange pressée ici | jus d'orange,"Leclerc | LECLERC | Leclerc, Nos Régions ont du Talent | Leclerc, Nos régions ont du talent | Leclerc, Nos Régions Ont Du Talent",https://images.openfoodfacts.org/images/products/000/000/116/9959/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/000/001/250/1717/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/200/000/261/9901/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/200/026/002/5919/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/002/010/0124/front_fr.5.400.jpg,1169959 | 12501717 | 2000002619901 | 2000260025919 | 20100124,,,
