normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
monoprix,monoprix,Monoprix,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,333,Obvious Monoprix retailer/private-label brand line.,Smoothie - Rebelle - True fruits | Gaufrettes fourrées saveur vanille | Gaufrettes Fourrées Praliné | Gaufrettes Enrobées Chocolat | Torsades Pur Beurre feuilletées et dorées,Monoprix | Monoprix | Monoprix | Monoprix | Monoprix,append_candidate,direct,
Coca-Cola,coca-cola,The Coca-Cola Company,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Manual review / complex ownership,329,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,Coca cola | Vanilla Zero | Aluminum bottles | Coca-Cola zéro orange&vanilla | Cherry Vanilla,"Coca-Cola | Coca-Cola, Coke | Coca-Cola | Coca-Cola, Coke | Coca-Cola",append_candidate,direct,
wegmans,wegmans,Wegmans,direct,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Wegmans,Manual review / complex ownership,Manual review / complex ownership,290,Obvious Wegmans retailer/private-label / corporate brand line.,"Dark Chocolate | Buffalo Style Flavored Sourdough Pretzels, Buffalo Style | Honey Mustard Flavored Sourdough Pretzels Pieces, Honey Mustard | Brown Sugar Cinnamon Flavored Sourdough Pretzel Pieces, Brown Sugar Cinnamon | Original Natural Smoke Beef Jerky, Original Beef",Wegmans | Wegmans | Wegmans | Wegmans | Wegmans,append_candidate,direct,
marque repere,marque repere,E.Leclerc,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,285,Marque Repère is an E.Leclerc private-label brand.,Fromage de chèvre | Creme legere | Chevre Frais | coeur de crème | Fromage blanc,"Marque Repère, Leclerc, Les Croisés | Marque Repère | Marque Repère, Les Croisés | Marque Repère, E.Leclerc, les croisés | Marque Repère",append_candidate,direct,
Activia,activia,Danone,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Manual review / complex ownership,273,Known Danone brand / brand line missing from proposed company mapping.,"activia fruits mixés | Activia So Délicat Pointe de Citron Vert | Yaourt Activia au bifidus | Activia Recette au fromage blanc (2,9 % MG) Saveur Vanille | Activia Céréales | Lowfat Yogurt with prune | Activia Mix&Go Muesli Amandes Quinoa Graines de Chia | Mix & go | activia mix&go","Activia, Danone | Activia, Danone | Activia, danone | Activia, Danone | Activia, Danone | Activia | activia | Activia | Activia | Activia",append_candidate,direct,
monoprix,monoprix,Monoprix,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,256,Obvious Monoprix retailer/private-label brand line.,"Smoothie banane framboise | Café soluble tradition | Café soluble | Vieux calvados du pays d'Auge , élevé en fût de chêne | Rhum Ambré","Monoprix | Monoprix | Monoprix | Monoprix | Monoprix, Sequana",append_candidate,direct,
leclerc,leclerc,E.Leclerc,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,249,Obvious E.Leclerc retailer/private-label brand line.,Cantal Vieux AOP | Brillat savarin | Emmental longe lait cru | Emmental longe lait cru | Lingot d'or,"Leclerc, traditions terroirs | Leclerc | Leclerc | Leclerc | Leclerc",append_candidate,direct,
lidl,lidl,Lidl,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,244,Obvious Lidl retailer/private-label brand line.,maître jean pierre chinois | Macarons foie de canard et figue | Bio chocolat noir | ma tablette a partager | Chips a la truffe d'ete,LiDL | Lidl | Lidl | lidl | Lidl,append_candidate,direct,
tesco,tesco,Tesco,direct,snacks,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Tesco,Manual review / complex ownership,Manual review / complex ownership,240,Obvious Tesco retailer/private-label brand line.,All butter shortbread fingers | Salt & Pepper crackers | 4 Blueberry Muffins | Rich tea biscuits,Tesco | Tesco | Tesco | Tesco | Tesco,append_candidate,direct,
Walkers,walkers,PepsiCo,direct,snacks,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,233,Known PepsiCo brand / regional alias missing from proposed mapping.,walkers | Cheese and onion | ked e use carefully ty ingredients never fried... | Prawn cocktail | Vegan Grilled Cheese Toastie Crisps,Walkers | Walkers | Walkers | Walkers | Walkers,append_candidate,direct,
sainsburys,sainsburys,Sainsbury's,direct,dairies,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Sainsbury's,Manual review / complex ownership,Manual review / complex ownership,232,Obvious Sainsbury’s retailer/private-label brand line.,natural cottage cheese | authentic greek yoghurt | 1%milk fat Low Fat Milk | low fat Blackcurrant Yogurt | Whole british milk,Sainsbury’s | Sainsbury's | Sainsbury's | Sainsbury's | Sainsbury's,append_candidate,direct,
carrefour,carrefour,Carrefour,direct,snacks,BENELUX|FRANCE,BENELUX|FRANCE,Belgium,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,229,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","Barquettes | Crackers allégés, Saveur Crème Oignon | 10 pains au lait | Le Petit Beurre | Chocolat au lait","Carrefour | Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour | Carrefour | Carrefour | Carrefour",append_candidate,direct,
tesco,tesco,Tesco,direct,dairies,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Tesco,Manual review / complex ownership,Manual review / complex ownership,214,Obvious Tesco retailer/private-label brand line.,Fat free cottage cheese | Skimmed Milk | 0% Fat Greek Style Yogurt | 0% Fat Greek Style Yogurt | Mascarpone,Tesco | Tesco | Tesco | Tesco | Tesco,append_candidate,direct,
Gatorade,gatorade,PepsiCo,direct,beverages,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,209,Known PepsiCo brand / regional alias missing from proposed mapping.,"Berry Zero Sugar | Grape Electrolyte Water Beverage | Gatorade Thirst Quencher Lemon Lime | Thirst quencher | Arctic blitz crisp & cool thirst quencher, arctic blitz",Gatorade | Gatorade | Gatorade | Gatorade | Gatorade,append_candidate,direct,
Doritos,doritos,PepsiCo,direct,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,207,Known PepsiCo brand / regional alias missing from proposed mapping.,"Doritos | Flavored Tortilla Chips, Hot | Jumpin' Jack Cheese Flavored Tortilla Chips, Jumpin' Jack Cheese | Wasabi Flavored Tortilla Chips, Wasabi | Doritos Nacho Cheese | Poppin' Jalapeno Doritos","Doritos | Doritos | Doritos | Doritos | Doritos | doritos,frito-lay,pepsico",append_candidate,direct,
sainsburys,sainsburys,Sainsbury's,direct,snacks,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Sainsbury's,Manual review / complex ownership,Manual review / complex ownership,199,Obvious Sainsbury’s retailer/private-label brand line.,Cream Crackers | Fruit & Nut Dark Chocolate | Fig Roll Biscuits | RICH TEA biscuits | Shorties,Sainsbury's | Sainsbury's | Sainsburys | Sainsbury's | Sainsbury’s,append_candidate,direct,
lactel,lactel,Lactalis,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lactalis,Manual review / complex ownership,Manual review / complex ownership,198,Known Lactalis brand.,"Matin léger | demi écrémé | Lait demi-écrémé (1,2 % MG) | Lait Entier | Lait entier lactel | Lactel max Lait Entier Uht","Lactel | lactel | Lactel | Lactel | Lactel | Lactel Max, lactel",append_candidate,direct,
carrefour,carrefour,Carrefour,direct,dairies,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,175,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Bifidus* nature | Mousse chocolat | Bizcocho al ron | Lait écrémé en poudre | Liégeois café,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
wegmans,wegmans,Wegmans,direct,dairies,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Wegmans,Manual review / complex ownership,Manual review / complex ownership,168,Obvious Wegmans retailer/private-label / corporate brand line.,"Lite Whipped Topping | Hatch Chili Cheese Spread, Hatch Chili | Cannoli Dip With Chocolate Chips, Cannoli With Chocolate Chips | Monterey jack cheese with jalapeno peppers, pepper jack | low fat cottage cheese",Wegmans | Wegmans | Wegmans | Wegmans | Wegmans,append_candidate,direct,
Danette,danette,Danone,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Manual review / complex ownership,157,Known Danone brand / brand line missing from proposed company mapping.,"Danette saveur coco | Danette chocolat extra noir | Danette et fruits | Danette mousse liégeoise | Danette saveur vanille magix | Danette chocolat noisette végétal | Mousse au chocolat | Danette mousse vanille 60 g x 4 | Danette noir extra | Petite danette vanille, 6x70g","Danette, Danone | Danette, Danone | Danette, Danone | Danette, Danone | Danette, Danone | Danette | DANETTE | Danette | Danette | Danette",append_candidate,direct,
Schweppes,schweppes,Suntory Beverage & Food,market_scoped,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Suntory Beverage & Food,Suntory Beverage & Food,157,Proposed company mapping is concrete; approve for launch.,Schweppes Ginger Ale | SCHWEPPES LEMON | Lemon | Tonic | Schweppes poire,Schweppes | Schweppes | Schweppes | Schweppes | schweppes,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.
Cadbury,cadbury,The Hershey Company,market_scoped,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,The Hershey Company,The Hershey Company,152,Proposed company mapping is concrete; approve for launch. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.,"Mini Milk Chocolate Caramel Eggs | Dairy Milk Chocolate | Royal Solid Dark Chocolate | Royal Dark Chocolate, Caramel & Sea Salt | ROYAL DARK DARK CHOCOLATE",Cadbury | Cadbury | Cadbury | Cadbury | Cadbury,append_candidate,direct,Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct. | Cadbury ownership/routing is market-sensitive; status corrected to market_scoped before launch upsert.
Carrefour Bio,carrefour bio,Carrefour,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Other / not mapped to a company,Manual review / complex ownership,152,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Crème Dessert Vanille | Emmental français | Emmental français | Emmental au lait cru | Emmental Français | Emmental francais | Raclette Bio (27% MG) | Bifidus Nature,"Carrefour BIO | Carrefour bio | Carrefour BIO | Carrefour Bio | Carrefour BIO | Carrefour,Carrefour Bio | Carrefour,Carrefour bio | Carrefour,Carrefour Bio",append_candidate,direct,
Fanta,fanta,The Coca-Cola Company,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Manual review / complex ownership,145,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,Fanta orange | Fanta Apple | Fruit Punch | Fanta Peach | Fanta Cherry | fanta | Fanta Shokata | Fanta What The Fanta | Fanta limonata | Fanta Orange | Fanta zéro citron frappé | Fanta | Fanta Orange Zero Sugar | Fanta grape,"Fanta | Fanta | Fanta | Fanta | Fanta | Coca-Cola Company, fanta | Coca-Cola Company, Fanta | Coca-Cola Company, Fanta | Coca-Cola Company, Fanta | Fanta, Mcdonald's, The Coca Cola Company | Fanta, Fanta-light, the Coca-Cola company | Fanta, The Coca-Cola Company | Fanta, Fanta-light, The Coca-Cola Company | Coca-Cola,Coca-Cola Company,Fanta",append_candidate,direct,
aldi,aldi,Aldi,direct,snacks,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Aldi,Manual review / complex ownership,Manual review / complex ownership,142,Obvious Aldi retailer/private-label brand line.,100% WALKERS GREAT BRITISH POTATOES LEGENDARY READ | Rich tea biscuits | Aldi Snackrite Salt & Vinegar Crisps | Racer | 6 Coconut Macaroons,"Aldi | Aldi, Belmont Biscuit Co | Aldi | Aldi | Aldi",append_candidate,direct,
monoprix gourmet,monoprix gourmet,Monoprix,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Other / not mapped to a company,Manual review / complex ownership,142,Obvious Monoprix retailer/private-label brand line.,Selles-sur-Cher | Camenbert de Normandie | Salers | Reblochon de Savoie fermier | Reblochon de Savoie fermier,Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet,append_candidate,direct,
sainsburys,sainsburys,Sainsbury's,direct,beverages,UK_IE,UK_IE,United Kingdom,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Sainsbury's,Manual review / complex ownership,Manual review / complex ownership,142,Obvious Sainsbury’s retailer/private-label brand line.,"Lemonade | Pineapple juice | Ground coffee | Intense Roast Fair trade Ground Coffee | Apple, watermelon and raspberry juice",Sainsbury's | Sainsbury's | Sainsbury's | Sainsbury's | Sainsbury's,append_candidate,direct,
