query_category,observed_market_region_codes,current_primary_brand,proposed_primary_brand,detected_portfolio_group,detection_source,detection_reason,record_count,example_product_names,example_raw_brands
beverages,US_CANADA,pepsi,pepsi,,no_change,no more-specific Top 9 portfolio brand detected,121,Diet Pepsi Cola 12 Fluid Ounce Aluminum Can | Diet Pepsi Cola 8 Fluid Ounce Aluminum Can | Cola | Pepsi | Pepsi Cola,pepsi | pepsi | pepsi | pepsi | pepsi
beverages,FRANCE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,117,ricoré | Chocolat poudre | Ricoré original | ricore Nestlé 1boite 200g | ricoré,nestlé | nestlé | nestlé | nestlé | nestlé
beverages,FRANCE,pepsi,pepsi,,no_change,no more-specific Top 9 portfolio brand detected,111,Pepsi lime | With a splash of mango juice | Pepsi Cola | Pepsi | Pepsi,pepsi | pepsi | pepsi | pepsi | pepsi
beverages,FRANCE,coca cola,coca cola light,Coca-Cola,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,94,Coca cola light | Coca cola zero | Coca Cola Zero (40cl) | Coca Cola Zero | Coca Cola Zero sucre,"coca-cola, coca-cola-light | coca-cola, coca-cola-light, the coca-cola company | coca-cola, coca-cola-light, mcdonald's | coca-cola, coca-cola-light | coca cola, coca-cola-light"
beverages,US_CANADA,lipton,lipton,,no_change,no more-specific Top 9 portfolio brand detected,87,"Lipton Lemon Iced Tea 20 Fluid Ounce Plastic Bottle | Iced tea | Diet Iced Tea, Lemon Flavor With Other Natural Flavors | Diet iced tea | Green tea","lipton, unilever | lipton, unilever | lipton, unilever | lipton, unilever | lipton,unilever"
snacks,FRANCE,nestle,les recettes de latelier,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,78,"NESTLE LES RECETTES DE L'ATELIER - Carrés dégustation Chocolat noir 70% - 210g | NESTLE L'ATELIER Chocolat Noir Myrtilles, Amandes et Noisettes | Chocolat Noir, Cranberries, Amandes | NESTLE L'ATELIER Chocolat au Lait, Cranberries, Amandes et Noisettes | NESTLE L'ATELIER Chocolat au Lait, Raisins, Amandes et Noisettes","nestlé, les recettes de l'atelier, les recettes de l'atelier les carres | nestlé, les recettes de l'atelier | nestlé, les recettes de l'atelier | nestlé, les recettes de l'atelier | nestlé, les recettes de l'atelier"
snacks,FRANCE,lu,lu,,no_change,no more-specific Top 9 portfolio brand detected,77,Véritable - Petit écolier | Figolu - Sablés aux figues | La Coqueline (fraise) | Lulu La Coqueline Goût Chocolat Noisette | Lulu La Barquette Framboise,"lu, mondelez | lu, kraft foods | lu,mondelez | lu,mondelez | lu, mondelez"
snacks,FRANCE,nestle,kitkat,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,74,"KITKAT Ball, Billes au chocolat au Lait, 250g | KITKAT Ball, Chapelet Billes au chocolat au Lait, 5x30g | Barres au chocolat blanc | KITKAT Blanc, 4 barres enrobage blanc, 8x41,5g | KITKAT Tablette Saveur Cookie Dough 99g","nestlé, kit kat ball, kitkat | nestlé, kit kat ball, kitkat | nestlé, kitkat | nestlé, kitkat | nestlé, kit kat"
beverages,US_CANADA,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,71,Coca cola 400 | REFRESCO CARBONATADO SABOR ORIGINAL | Coke Zero | 3 Liters | Coca-Cola,coca-cola | coca-cola | coca-cola | coca-cola | coca-cola
snacks,FRANCE,nestle,dessert,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,69,Préparation pour fondant au chocolat | Cookies aux pépites de chocolat | Praline | Blanc | Chocolat noir,"nestlé dessert | nestlé dessert | nestlé, nestlé dessert | nestle dessert | nestlé dessert"
beverages,UK_IE,pepsi,pepsi,,no_change,no more-specific Top 9 portfolio brand detected,59,Pepsi Max | Pepsi max | Carbonated Low Calorie Cola Flavoured Soft Drink | Diet Pepsi 8pk | Pepsi Max,"pepsi,pepsico | pepsi | pepsi max | pepsi | pepsi"
beverages,FRANCE,lipton,lipton,,no_change,no more-specific Top 9 portfolio brand detected,58,Lipton Ice Tea saveur pêche touche de miel 6 x 33 cl | Thé Noir Royal Ceylan Vrac | Thé Noir Russian Earl Grey | Lipton Thé Pêche Mangue 20 Sachets | Lipton Thé Noir Citron notes Fraiches et Légères 25 Sachets,"lipton, pepsico | lipton, unilever | lipton, unilever | lipton, unilever | lipton, unilever"
dairies,FRANCE,danone,taillefine,Danone,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,56,Hipro | Taillefine recette au fromage blanc fraise 120 g x 4 | Taillefine recette au fromage blanc peche 120 g x 4 | Taillefine recette au fromage blanc saveur vanille 120 g x 4 | Taillefine recette au fromage blanc nature 850 g,"danone, taillefine | danone, taillefine, taillefine fromage | danone, taillefine, taillefine fromage | danone, taillefine, taillefine fromage | danone, taillefine, taillefine fromage"
beverages,UK_IE,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,54,Coke cola zero sugar | Thumbs Up (Indian coke) | Coke Zero | Coca cola zero | Coca-cola,coca-cola | coca cola company | coca cola | coca-cola | coca-cola
dairies,FRANCE,danone,danette,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,52,danette | Danette caramel salé | Danette Saveur Pistache | Danette - Caramel | Danette 12+4 pots,danone | danone | danone | danone | danone
snacks,UK_IE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,50,fruit pastilles | Zebra Dark&White | Counters | Animal bar,nestlé | nestlé | nestle | nestle | nestle
snacks,US_CANADA,kraft,kraft,,no_change,no more-specific Top 9 portfolio brand detected,49,"cookies, honey | Colby Jack Cheese, Dark Chocolate Chunks, Banana Chips Snack Trios, Colby Jack, Dark Chocolate, Banana | Snack Trios Extra Sharp White Cheddar Cheese, Dark Chocolate Chunks, Dried Cranberries, White Cheddar, Dark Chocolate | Monterey Jack Cheese, Dried Cinnamon Apples, Granola Clusters Trios Snack, Monterey Jack Cheese, Dried Cinnamon Apples, Granola Clusters | Snack Mix, Sharp Yellow Cheddar Cheese, Dark Chocolate Chunks, Dried Cherries","kraft foods inc.,nabisco,monsanto company | kraft | kraft | kraft | kraft"
dairies,FRANCE,actimel,actimel,,no_change,no more-specific Top 9 portfolio brand detected,48,Actimel + (10 Bouteilles + 2 Gratuites) | Actimel + (0 % MG) 10 Bouteilles + 2 Gratuites | Lait fermenté à boire sucré | Actimel nature | Actimel goût multifruits,"actimel, danone | actimel, danone | actimel, danone | actimel, danone | actimel, danone"
snacks,FRANCE,milka,milka,,no_change,no more-specific Top 9 portfolio brand detected,47,Milka - Noisette Entières - Maxi Format | Saint Nicolas Chocolat au Lait | Choco Cookie Raisins Pieguski | Tablette de chocolat | Sensations cookies Oreo cream,"milka, mondelez | milka, mondelez | milka,mondelez | milka, mondelez | milka,mondelez"
,FRANCE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,44,Nat miel & Amandes | Nat miel & amandes | Caro Céréales et Chicorée | P'tite Céréale Caramel | Clusters,nestlé | nestlé | nestlé | nestlé | nestlé
dairies,FRANCE|SOUTHERN_EUROPE,danone,danone,,no_change,no more-specific Top 9 portfolio brand detected,43,Le Yoghourt Nature | Iogurte | I love Corpos | Danone | Yaourt,danone | danone | danone | danone | danone
beverages,FRANCE|DACH,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,42,Original COCA-COLA | Big Apple | Coca cola originale taste | mezzo mix,coca cola | coca-cola | coca-cola | coca-cola | coca-cola company
dairies,FRANCE,danone,light and free,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,40,Light and free pêche | Light and Free | Light & free fraise | Light & Free Myrtille | Danone 0% rouges,"danone, light & free | danone, light & free | danone,light & free | danone,light & free | danone,light & free"
snacks,FRANCE,nestle,perugina,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,40,mini oeufs en chocolat fourrés aux noisettes | Perugina Baci Tubo GR. 100 | Baci Perugina Chocolates Hazelnut | Pralinen Mit Haselnussfüllung - Baci Con Nocciola | Perugina Baci Maxi Cuore Elegance GR. 129,"nestlé, perugina, baci | nestlé, perugina | nestlé, perugina | nestlé, perugina | nestlé, perugina"
snacks,FRANCE,cote dor,cote dor,,no_change,no more-specific Top 9 portfolio brand detected,38,Biscuit Intense Chocolat Noir | Lait Raisins Noisettes | Côte d'Or Lait Noisettes Entières | Mini Sensation Intense 70% | Mini roc lait,"côte d'or, kraft foods | côte d'or, kraft foods | côte d'or, mondelez international | côte d'or, mondelez | côte d'or,mondelez"
dairies,FRANCE,danone,hipro,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,38,HiPRO saveur Mangue | Hipro | HiPRO Crème dessert saveur Caramel | Hipro Creme dessert vanille | HiPRO vanille,danone | danone | danone | danone | danone
snacks,FRANCE|SOUTHERN_EUROPE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,38,Golden grahams céréales et lait | Kit Kat | Kit kat chunky | Kit Kat Orange 2 Finger 20.7G | chocolate Abuelita tableta,nestlé | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE,mondelez,mondelez,,no_change,no more-specific Top 9 portfolio brand detected,38,rem | Chewing-gums | Galettes Saint Sauveur Collection LU | Goûters REM Parfum chocolat | Feuilleté doré Collection LU,mondelez international | mondelez | mondelez | mondelez | mondelez
dairies,US_CANADA,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,38,Fortificada Dry Whole Milk | Nestle Klim Dry whole milk with vitamins and minerals | Media crema | La lecherita | Sweetened condensed milk,nestlé | nestle | nestle | nestlé | nestlé
beverages,FRANCE,nestle,nescafe,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,37,"Café soluble | NESCAFE SELECTION Décaféiné Dose Individuelle de 2g | NESCAFE Café Viennois, Café soluble, Boîte de 8 sticks (18g chacun) | Espresso - Original, 100% arabica | NESCAFÉ SPECIAL FILTRE Décaféiné, Café Soluble, Flacon de 200g","nestlé, nescafé | nestlé, nescafe, selection | nestlé, cafe viennois, nescafé, nutritional compass | nestlé, nescafé | nestlé, nescafé, special filtre, special filtre decaf"
snacks,FRANCE,nestle,smarties,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,36,Smarties | Glace smarties | Nestle Smarties Minis | Smarties | Smarties,nestlé | nestlé | nestlé | nestlé | nestlé
dairies,BENELUX|FRANCE,danone,danone,,no_change,no more-specific Top 9 portfolio brand detected,35,"Gervais Au Fruits, Pack De 2 Fois 6 Pots De 50 Grammes, Marque Danone | Gervita | Fjord | Bifidus saveur Citron | Vitalinea break fraise 2X145G",danone | danone | danone | danone | danone
beverages,FRANCE,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,35,Sirop Caramel | Caffè latte | Frappuccino | Matcha Green Tea | Signature Chocolate,starbucks | starbucks | starbucks | starbucks | starbucks
snacks,FRANCE,hersheys,hersheys,,no_change,no more-specific Top 9 portfolio brand detected,34,"Hershey's | Cookies n creme candy bar | Hershey's Holiday Candy Cane Bar, 3.5 Oz | cookies'n'creme candy | Reese's Pieces 113G",hershey's | hershey's | hershey's | hershey's | hershey's
dairies,FRANCE,danone,danonino,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,34,Danonino | Danonino bio | Danonino de Gervais aux fruits | Danonino à Boire | Danonino vanille,danone | danone | danone | danone | danone
dairies,FRANCE|SOUTHERN_EUROPE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,31,Ilovekefir | Fruttolo | fruttolo | Liberals pro morango | kefir sabor tropical,nestlé | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE,nestle,smarties,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,29,"Smarties | SMARTIES Chocolat blanc Sachet 250g | Bonbons de chocolat au lait SMARTIES mini Carton de 11,5kg | SMARTIES Hexatube Multipack 3x34g | SMARTIES Hexa Multipack 6x34g","nestlé,smarties | nestlé, smarties | nestlé, smarties | nestlé, smarties | nestlé, smarties"
beverages,US_CANADA,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,28,"Purified drinking water | abuelita | 7 essential vitamins & minerals | Kinder 1+ with prebio1 powdered milk beverage | Chocolate flavor milk powder, chocolate",nestle | nestlé | nestlé | nestlé | nestlé
snacks,FRANCE,nestle,lanvin,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,28,L'escargot lait | Arabesques exquises | Escargots | L'Escargot Noir | L'Escargot Lait,"nestlé, lanvin | nestlé, lanvin | nestlé, lanvin | nestlé, lanvin | nestlé, lanvin"
dairies,FRANCE,danone,activia,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,26,Activia bifidus nature 125 g x 8 | Activia | Activia saveur fruits rouges | Activia abricot | Activia au bifidus nature,danone | danone | danone | danone | danone
beverages,US_CANADA,diet pepsi,diet pepsi,,no_change,no more-specific Top 9 portfolio brand detected,25,"Caffeine Free Diet Cola | Caffeine Free Diet Cola, Caffeine Free | Diet Cola | Diet Cola | Caffeine Free Diet Cola",diet pepsi | diet pepsi | diet pepsi | diet pepsi | diet pepsi
beverages,FRANCE|SOUTHERN_EUROPE,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,25,Coca-Cola Original | Coca Cola | Coca-Cola original taste1.75 | Coca-Cola,"coca-cola | coca cola | coca-cola | coca cola, coca-cola | coca-cola"
dairies,FRANCE,nestle,sveltesse,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,24,"Ferme et fondant Pistache | Ferme et fondant sveltesse café | Sveltesse Ferme & Fondant saveur mangue-Passion | Sveltesse Ferme et Fondant, saveur Crème Brûlée | Ferme et Fondant, Chocolat","nestlé, sveltesse | nestlé, sveltesse | nestlé, sveltesse | nestlé, sveltesse | nestlé, sveltesse"
dairies,US_CANADA,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,24,Caramel Macchiato Creamer | ESPRESSO AND CREAM PREMIUM ESPRESSO BEVERAGE | Mocha Frappuccino chilled coffee drink | Birthday cake pop | Pumpkin Spice Latte Creamer,starbucks | starbucks | starbucks | starbucks | starbucks
snacks,US_CANADA,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,24,California raisins covered in chocolate | Candy theater box | Milk chocolate with peanuts & raisins | Candy | Bunches of crunchy milk chocolate,nestle | nestlé | nestlé | nestle | nestle
snacks,FRANCE,bledina,bledina,,no_change,no more-specific Top 9 portfolio brand detected,23,Cocktail de fruits | BLEDINA Mon 1er petit pot Poires 2x130g Dès 4/6 mois | Blédi'fruit Harmonie de fruits | BLEDINA POTS FRUITS Mon 1er Petit Pot Pommes 2x130g Dès 4/6 Mois | BLEDINA POTS FRUITS Pommes Bananes 4x130g Dès 4/6 Mois,"blédina, danone | blédina, danone, mon 1er petit pot | blédina, danone | blédina, danone, mon 1er petit pot, pots fruits | blédina, danone, pots fruits"
dairies,FRANCE,danone,taillefine,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,23,"Taillefine Fondant à la vanille | Fromage blanc Taillefine noix de coco | Taillefine Coco 0% | Taillefine fondants Chocolat de Tanzanie (0,9% M.G) | Taillefine aux Fruits Abricot - Pêche",danone | danone | danone | danone | danone
snacks,FRANCE,nestle,kitkat,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,23,KitKat ball | Kitkat au matcha | KitKat CHUNKY | KitKat Chunky Peanut Butter | KitKat Chunky with milk,nestlé | nestlé | nestlé | nestlé | nestlé
beverages,FRANCE,nestle,nesquik,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,22,"Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Nesquik gourmand | Nesquik | nesquik | Mon Premier Nesquik","nestlé, nesquik | nestlé, nesquik | nestlé, nesquik | nestlé, nesquik | nestlé, nesquik"
snacks,FRANCE|US_CANADA,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,22,Bars | Milk chocolate | Fudge bar in milk chocolate | Crunch Creamy Milk Chocolate with Crisped Rice | California raisins covered in chocolate,nestlé | nestlé | nestlé | nestle | nestlé
cereals,UK_IE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,22,Shredded Wheat | Shredded Wheat Bitesize | CLUSTERS Cereal Box | Nestle 50% Extra 565G Cookie Crisp | CEREVITA,nestle | nestlé | nestle | nestlé | nestlé
snacks,FRANCE|DACH,milka,milka,,no_change,no more-specific Top 9 portfolio brand detected,22,Oreo | Alles Gute Pralinen | Milka Schmunzelhase Weiße Schokolade | Milka Weihnachtsmischung | Apple Crumble,"milka, mondelez | milka,mondelez | milka,mondelez | milka,mondelez | milka, mondelez deutschland gmbh"
,FRANCE,nestle,chocapic,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,22,chocapic sans huile palme | Chocapic | Chocapic crunchy muesly | Chocapic Maxi Format | Chocapic,"nestlé, chocapic | nestlé, chocapic | nestlé, chocapic | nestlé, chocapic, general mills | nestlé, chocapic"
dairies,FRANCE,danone,gervais,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,22,"Le petit suisse | Gervais le petit suisse | Gervais Fraise, Abricot Framboise | Gervais maxi | Gervais (Saveurs : Fraise, Banane, Pêche, Framboise, Abricot) 18 Pots","danone, gervais | danone, gervais | danone, gervais | danone, gervais | danone, gervais"
beverages,UK_IE,san pellegrino,san pellegrino,,no_change,no more-specific Top 9 portfolio brand detected,21,Sanpellegrino Limonata | Tonica | Aranciata | San Pellegrino Limonata,"san pellegrino, nestlé | san pellegrino, nestlé | san pellegrino, nestlé | san pellegrino, nestlé | san pellegrino, nestlé"
,FRANCE,nestle,maggi,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,21,Mousline | Mousline Tendresse de Lait | Tendresse de Lait | Nouilles instantané asiatiques saveur poulet | Nouilles Asiatiques Saveur Boeuf - 60 g - Maggi,"nestlé, maggi, mousline | nestlé, maggi, mousline, tendresse de lait | nestlé, maggi, mousline, tendresse de lait | nestlé, maggi | nestlé, maggi"
dairies,UK_IE,danone,danone,,no_change,no more-specific Top 9 portfolio brand detected,21,Активиа киноа и лешници | GetPRO Banana Yoghurt | Light & Free delicious Strawberry Greek Style Yoghurt | Light & Free Greek Style Yogurt Raspberry Razzle | Oykos Raspberry Greek Style Yogurt,danone | danone | danone | danone | danone
dairies,US_CANADA,nestle,coffee mate,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,21,Coffee Mate Chocolate Creme | Nestle Coffee Mate French Vanilla concentrated creamer | Original Coffee Mate | Coffee mate Zero Sugar Birthday Cake | Hazelnut Coffee mate,nestle | nestlé | nestle | nestlé | nestlé
dairies,FRANCE,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,20,Lait d'avoine | Coconut drink | Caffe latte | MACCHIATO NOISETTTE | Vegan Stracciatella,starbucks | starbucks | starbucks | starbucks | starbucks
snacks,BENELUX|FRANCE,cote dor,cote dor,,no_change,no more-specific Top 9 portfolio brand detected,20,Carrés Noir Noisette | Côte d'Or lait Noisettes | Lait Coco | Bar de chocolat noir noisettes entières | Chocolat Lait Noisettes,"côte d'or, mondelez, mondelez international | cote d'or, kraft foods, mondelez | côte d'or, mondelez | côte d'or, mondelez | côte d'or, mondelez"
dairies,US_CANADA,danone,danone,,no_change,no more-specific Top 9 portfolio brand detected,20,Sweet and Creamy Almondmilk Creamer | Yaourt aromatisé | Skyr | Dairy Drink | Dairy Snack,danone | danone | danone | danone | danone
beverages,UK_IE,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,19,Chai | Ginger shot | Raspberry Lemonade | Frappuccino vanille | Oat based vanilla macchiato,starbucks | starbucks | starbucks | starbucks | starbucks
cereals,FRANCE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,19,crunch | chokella | Nestle Koko Crunch 150 | Honey stars เดี่ยว | Cookie Crisp,nestlé | nestlé | nestlé | nestlé | nestlé
dairies,FRANCE,danone,les 2 vaches,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,19,"Douceur laitière, Fameuh Nature | Fameuh Marron | Les p'tites pailles Vanille | Les p'tites Pailles (3 x Fraise, 3 x Pêche) | Myrtille Délicieuse","danone, les 2 vaches, stonyfield france | danone, les 2 vaches, stonyfield france | danone, les 2 vaches | danone, les 2 vaches, stonyfield france | danone, les 2 vaches, stonyfield france"
dairies,FRANCE,danio,danio,,no_change,no more-specific Top 9 portfolio brand detected,19,"Danio fraise | Danio Myrtille | Danio Pêche (2,4 % MG) | Danio 0% mg passion 150 g x 1 | Danio - Spécialité laitière sur lit de framboises sucré","danio, danone | danio, danone | danio, danone | danio, danio 0%, danone | danio, danone"
beverages,FRANCE|DACH,nestle,san pellegrino,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,18,S. Pellegrino Mineralwasser | San Pellegrino | Eau minérale gazeuse | S. Pellegrino | Acqua Panna,"nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, acqua panna, san pellegrino"
dairies,FRANCE,danone,actimel,Danone,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,18,Actimel | Actimel Fraise offre Anniversaire | Actimel 0% Allégé en Sucres | Actimel | Actimel,danone | danone | danone | danone | danone
snacks,US_CANADA,mondelez,mondelez,,no_change,no more-specific Top 9 portfolio brand detected,18,"Honey maid graham crackers | Mini chocolate chip cookies go-pak imp | Crackers 'n cheese dip | Peanut butter cracker sandwiches, peanut butter | Sandwich cookies",mondelez | mondelez | mondelez | mondelez | mondelez
dairies,US_CANADA,nestle,coffee mate,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,18,Butterbeer Cold Foam Creamer | Italian Sweet Creme | natural bliss ALMOND CREAMER | Italian Sweet Crème | Café Mocha,nestlé coffee mate | nestlé coffee mate | nestlé coffee mate | nestlé coffee mate | nestlé coffee mate
snacks,FRANCE,kraft,kraft,,no_change,no more-specific Top 9 portfolio brand detected,18,LU La Paille d'Or aux Framboises | Dinosaurus Chocolat | Pépito pockitos chocolat noir | Pépito Chocolat au lait | Edition Spéciale LU,"kraft foods, lu | kraft foods, lu | kraft foods, lu | kraft foods, lu | kraft foods, lu"
dairies,FRANCE|DACH,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,18,yaourt a la grecque | Maronsui's - Mousse à la crème de marrons | Yaos coco | Le Viennois | Yaos Yaourt à la Grecque Nature,nestlé | nestlé | nestlé | nestlé | nestlé
beverages,FRANCE,nestle,nesquik,Nestlé,top_company_portfolio_matrix_product_name,current primary brand is parent/company token; portfolio brand appears in product name,18,Nesquik | Kakao Nestle Rozpuszczalne Nesquik 400G | Nesquik | Nesquik | Nesquik 200-Nestle,nestlé | nestlé | nestle | nestle | nestlé
beverages,FRANCE|SOUTHERN_EUROPE,nestle,san pellegrino,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,17,Acqua San Pellegrino | San Pellegrino 500ml Mineral Water | NATURALMENTE FUORI DAL CORO DAL 1932 SANPELLEGRINO | Sanpellegrino Arancia e Pera | SANPELLEGRINO Bois pétil au jus d'orange et de figue de Barbarie 33cl,"nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino"
