normalized_brand,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,primary_brand_db,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
carrefour,Carrefour,direct,snacks,FRANCE,FRANCE,carrefour,France | Czech Republic | Bahrain,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,731,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Madeleines moelleuses | Mini galette frangipane | Pain au chocolat | MERVEILLES saupoudrées de sucre cristal | Chouquettes | Chocolat noir dessert | BIO Barres céréales Fraise | Barquettes Goût Abricot,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
casino,Groupe Casino,direct,dairies,FRANCE,FRANCE,casino,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,634,Obvious Casino retailer/private-label brand line.,Comté extra 16/21 mois | Emmental français | Emmental Français Est-Central Grand Cru | Emmental bio | Emmental bio,"Casino | Casino | Casino | Casino, Casino Bio | Casino",append_candidate,direct,
casino,Groupe Casino,direct,beverages,FRANCE,FRANCE,casino,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,607,Obvious Casino retailer/private-label brand line.,Nectar orange | thé vert sencha | 100% pur jus Orange Sanguine de Sicile pressé | jus d Orange | Jus de pomme,"casino | Casino, casino bio | Casino | casino | Casino",append_candidate,direct,
casino,Groupe Casino,direct,snacks,FRANCE,FRANCE,casino,France | Bolivia | European Union,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,598,Obvious Casino retailer/private-label brand line.,Panettone aux raisin secs et aux écorces d orange confit | p'tits biscuits fourrage au lait bio | Cookies tout chocolat | Brownie familial | Crackers salés Casino | Fresa Flow | Crêpes dentelle au chocolat noir,"Casino | casino | Casino | Casino | Casino | Casino,Victoria | Casino, Casino Délices, Délices",append_candidate,direct,
marque repere,E.Leclerc,direct,snacks,FRANCE,FRANCE,marque repere,France | Algeria,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,555,Marque Repère is an E.Leclerc private-label brand.,Ecuador | Noir extra | Chocours | Apéro roulés | Equador noir Extra 85% cacao | Biscuits sablés nappés au chocolat noir sans gluten | Biscuits sablés framboise sans gluten | Cookies aux Pépites de Chocolat | Mini brownie chocolat ss gluten x8 | Petit beurre sans gluten | Palet breton la recette original pur beurre | Madeleines longuse pur beurre | Madeleines longues marbrées chocolat | La Gaufrette Framboise | Cookies chocolat blanc cranberries | Collection inspirée | Cheesecake caramel beurre salé | Tiramisu à la fraise | Coeur fondant au caramel beurre salé | Gianduja | Buche glacee Trofic Facon dame blanche | Bûche Vanille Caramel Pécan | Crackers emmental | Pop Corn sucré salé | Biscuits raisin | Nustikao biscuits | Chips épaisse nature | Chocolat noir feves de cacao | 4 Bâtonnets Chocolat au lait cookies | Barre fruits rouges x 6 | Palmiers nappe chocolat lait | Cookies premium coeur fondant à la noisette | Sablé céréales P'tit Déli Chocolat au lait pocket | Galettes suedoises flocon avoine | La Gaufrette Praliné noisette,"Marque Repère | Marque Repère | Marque Repère | Marque Repère | Marque Repère | Chaque Jour Sans Gluten, Marque Repère | Chaque Jour Sans Gluten, Marque Repère | Chaque Jour Sans Gluten, Marque Repère | Chaque Jour Sans Gluten, Marque Repère | Chaque Jour Sans Gluten, Marque Repère | P'tit déli,Marque Repère | P'tit Déli, Marque Repère | P'tit Déli, Marque Repère | P'tit Déli, Marque Repère | P'tit Déli, Marque Repère | Equador, Marque Repère | Equador,Marque Repère | Equador,Marque Repère | Equador,Marque Repère | Equador, Marque repére | Eskiss,Marque repère | Eskiss,Marque Repère | Tokapi,Marque Repère | Tokapi,Marque Repère | Nat & Vie,Marque Repère | Nustikao, Marque Repère | Pom'Lisse,Marque Repère | Savour!,Marque Repère | Tablette d'Or,Marque Repère, Equador | Trium,Marque Repère | Marque Repère, P'tit Déli | Marque Repère, P'tit Déli | Marque Repère, P'tit Déli | Marque Repère, Leclerc, P'tit Déli | Marque Repère,P'tit Déli | P'tit Déli, Marque Repère",append_candidate,direct,
monoprix,Monoprix,direct,dairies,FRANCE,FRANCE,monoprix,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,547,Obvious Monoprix retailer/private-label brand line.,Cantal | Cantal | Cantal | Cantal | Cantal,Monoprix | Monoprix | Monoprix | Monoprix | Monoprix,append_candidate,direct,
leclerc,E.Leclerc,direct,snacks,FRANCE,FRANCE,leclerc,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,464,Obvious E.Leclerc retailer/private-label brand line.,Mille feuille | Flan nature | Biscuits Vital au son d'avoine et canneberges | Biscuits Vital (chocolat 70%) | Biscuits Praeventia (chocolat),Leclerc | Leclerc | Leclerc | Leclerc | Leclerc,append_candidate,direct,
carrefour,Carrefour,direct,beverages,FRANCE,FRANCE,carrefour,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,441,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Eau de source de montagne | Multifruits | chicorée café | Fresh tonicité | pur jus d'orange,Carrefour | Carrefour | carrefour | Carrefour | Carrefour,append_candidate,direct,
lindt,Lindt & Sprüngli,direct,snacks,FRANCE,FRANCE,lindt,France | Australia | Algeria | Bulgaria | Bolivia,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lindt & Sprüngli,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,441,Known Lindt brand / line.,Chocolat noir extra fin aux graines de sésame | Les Grandes 34% noisettes | Barre De Chocolat (extra Crémeux) | Lindt Excellence coconut | Lindt Swiss Thins | Ganache framboise | Lindt Excellence 85% Cocoa Extra Dark | EXCELLENCE 95% COCOA ULTIMATE DARK | Mild Dark Smooth Blend 70% Cocoa | Lindt Creation Chocolate Block Creme Brulee | Lindt Creation Chocolate Block Hazelnut Delight | Lindor Lait | Lindor | Chocolat blanc | Chocolat lindor | Œuf en chocolat | Chocolat noir aux cristaux de Fleur de Sel | Lindt Chocolat au lait praliné noisettes | Chocolat blanc Swiss Premium Chocolate | Choco-Käfer | Chocolat Lindor | Swiss Milk Chocolate Almond | Lindor,"Lindt | Lindt | Lindt | Lindt | Lindt | LINDT ET SPRÜNGLI, Lindt, Lindt Création | Lindt | Lindt | Lindt | Lindt, ลินด์ | Lindt | Lindor, Lindt | Lindor, Lindt | Lindor, Lindt | Lindor, Lindt, Lindt & Sprüngli | Lindor, Lindt, Lindt & Sprüngli | Excellence, Lindt | Lindt, Lindt & Sprüngli | Lindt | Lindt, Lindt & Sprüngli GmbH | Lindt | Lindt, Swiss Classic | Lindor, Lindt",append_candidate,direct,
Lay's,PepsiCo,direct,snacks,US_CANADA,US_CANADA,lay's,United States | Canada | India | Hong Kong | Israel | Moldova,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Other / not mapped to a company,Other / not mapped to a company,418,Known PepsiCo brand / regional alias missing from proposed mapping.,"Sour Cream & Onion Potato Chips | Barbecue Flavored Potato Chips, Barbecue | Sour Cream & Onion Flavored Potato Chips, Sour Cream & Onion | BARBECUE FLAVORED POTATO CHIPS | Cheddar & Sour Cream Flavored Potato Chips, Cheddar & Sour Cream | Lay's Sea Salted Thick Cut Potato Chips | Lightly Salted Chips | Potato chips | Potato Chips | Oven Baked Original Potato Chips | Lay's Potato Chips | India’s Magic Masala 30 | Lays | STAX Sour Cream & Onion Flavored | Potato chips | Sour Cream & Dill","Lay's | LAY'S | LAY'S | Lay's | LAY'S | Lay's,frito-lay,pepsico | Lay's,frito-lay,pepsico | Fritolay, Lay's | Lay's | Lay's | Lay's | Lay's | Lay's | Lay's",append_candidate,direct,
e.leclerc,E.Leclerc,direct,snacks,FRANCE,FRANCE,e.leclerc,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,409,Obvious E.Leclerc retailer/private-label brand line.,"Pain chocolat | Brioche des rois | Chaussons aux pommes | 5 pains au chocolat beurre, les 3 meniers",E.Leclerc | E.Leclerc | E.Leclerc | E.Leclerc | E.Leclerc,append_candidate,direct,
président,Lactalis,direct,dairies,FRANCE,FRANCE,président,France | Bulgaria | Algeria | Cote D Ivoire | Czech Republic,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lactalis,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,404,Known Lactalis brand.,beurre doux | Chevres chauds | Cancoillote | Crème de camembert | Beurre doux La Motte | Petit brie crémeux | Rondelé au bleu | Emmental Bio | PRESIDENT BURGER CHEDDAR EMMENTAL 12 TRANCHES 200g | Beurre doux la laiterie BIO | President carre bridel familial 350g | PRESIDENT COULOMMIERS CAMPAGNE 350g | Camembert (21 % MG) Offre Économique | Стерилизирана сметана UHT 30% масленост | Beurre Doux (82% MG) Gastronomique | Краве масло 80% | Топено сирене | Хомогенизирано полу-обезмаслено мляко | Fromage portions | Пълномаслено синьо сирене Le Blue | Spécialité laitière fluide stérilisée UHT à 4% de mat.gr. | Emmental classic,"président | President | Président | President | President | Lactalis, Président | Lactalis, Président | Lactalis, Président | Lactalis, Président | Lactalis, President | Bridel, President | Campagne de president, président | LF, Président | Président, Président Professionnel | Président | Président | Président | Président | président | Lactalis, Président | Président | President",append_candidate,direct,
Reflets de France,Carrefour,direct,dairies,FRANCE,FRANCE,reflets de france,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,388,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Tomette de brebis | Brie de Meaux AOP | COMTE RDF | Reblochon | Reblochon | Crottin de Touraine | Pont - l'Evêque AOP | Chabichou | Chaource AOP | Crème fraîche d'Isigny AOP,"Reflets de France | Reflets de France | Reflets de France | Reflets de France | Reflets de France | Carrefour,Reflets de France | Carrefour, Reflets de France | Carrefour,Interdis,Reflets de France | Carrefour, Reflets de France | Carrefour, Reflets de France",append_candidate,direct,
carrefour,Carrefour,direct,beverages,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,carrefour,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,350,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",NECTAR partiellement à base de concentrés MULTIFRUITS | Decaffeinato | Limonade zero* | 100% pur jus jus d'orange sans pulpe | MANZANA Liqueur saveur pomme,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
Lay's,PepsiCo,direct,snacks,FRANCE,FRANCE,lay's,France | Bulgaria | Cote D Ivoire,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Other / not mapped to a company,Other / not mapped to a company,346,Known PepsiCo brand / regional alias missing from proposed mapping.,Chips tomate paprika | Chips (paysanne nature) | Stax salted | Chips Saveur Barbecue | Chips méditerranéennes | Laus nature | Lay's Recette à l'ancienne nature | Chips nature | Moutarde Pickles | Dégustation Goût & Craquant d'Exception | Картофен чипс с вкус на кашкавал | Картофен чипс с вкус на паприка | Chips de pommes de terre saveur spicy,"Lay's | Lay's | Lay's | Lays | Lay's | Lay's, Lays, PepsiCo | Lay's, Lays, PepsiCo | Lay's, Pepsico | Lay's, PepsiCo | Lay's, PepsiCo | Lay's | Lay's | Lay’s",append_candidate,direct,
carrefour,Carrefour,direct,snacks,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,carrefour,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,342,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","barrette ai cereali | Biscuits cuillers | P'tit Déj Pépites de chocolat | P'tit déj Saveur - Smaak Apricot, almonds & chocolate chips* | Blanc coco caramelisée",Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
Coca-Cola,The Coca-Cola Company,direct,beverages,FRANCE,FRANCE,coca-cola,France | Colombia | Czech Republic | Estonia,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to The Coca-Cola Company,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,336,Known Coca-Cola system brand; route to The Coca-Cola Company at company layer.,Coca cola | Vanilla Zero | Aluminum bottles | Coca-Cola zéro orange&vanilla | Cherry Vanilla | Caffeine free coke | Coca cola | Coke Soft Drink Diet Citurs Zest | Coca Cola sans sucre sans caféine | Gaseosa Cocacola X | Vanilla | Coca-Cola Zero,"Coca-Cola | Coca-Cola, Coke | Coca-Cola | Coca-Cola, Coke | Coca-Cola | Coke | Coke | Coke | Coke | Coca-Cola",append_candidate,direct,
monoprix,Monoprix,direct,snacks,FRANCE,FRANCE,monoprix,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,333,Obvious Monoprix retailer/private-label brand line.,Smoothie - Rebelle - True fruits | Gaufrettes fourrées saveur vanille | Gaufrettes Fourrées Praliné | Gaufrettes Enrobées Chocolat | Torsades Pur Beurre feuilletées et dorées,Monoprix | Monoprix | Monoprix | Monoprix | Monoprix,append_candidate,direct,
marque repere,E.Leclerc,direct,dairies,FRANCE,FRANCE,marque repere,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,293,Marque Repère is an E.Leclerc private-label brand.,Fromage de chèvre | Creme legere | Chevre Frais | coeur de crème | Fromage blanc | Gouda au cumin 31%mg portion | Dés de fromage à l'Origan | Fromage de brebis | Crème entière | Crème semi-épaisse | Mozzarella sticks | Tiramisu spéculoos | façon chocolat liegeois,"Marque Repère, Leclerc, Les Croisés | Marque Repère | Marque Repère, Les Croisés | Marque Repère, E.Leclerc, les croisés | Marque Repère | Les Croisés,Marque Repère | Les Croisés,Marque Repère | Les Croisés,Marque Repère | Soutenons nos agriculteurs,Marque Repère | Soutenons nos agriculteurs,Marque Repère | Coté Croc,Marque Repère | Equador,Marque Repère | Eskiss,marque repere",append_candidate,direct,
wegmans,Wegmans,direct,snacks,US_CANADA,US_CANADA,wegmans,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Wegmans,Manual review / complex ownership,Manual review / complex ownership,290,Obvious Wegmans retailer/private-label / corporate brand line.,"Dark Chocolate | Buffalo Style Flavored Sourdough Pretzels, Buffalo Style | Honey Mustard Flavored Sourdough Pretzels Pieces, Honey Mustard | Brown Sugar Cinnamon Flavored Sourdough Pretzel Pieces, Brown Sugar Cinnamon | Original Natural Smoke Beef Jerky, Original Beef",Wegmans | Wegmans | Wegmans | Wegmans | Wegmans,append_candidate,direct,
Activia,Danone,direct,dairies,FRANCE,FRANCE,activia,France | Algeria | Bulgaria,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Danone,Manual review / complex ownership,Manual review / complex ownership | Danone,281,Known Danone brand / brand line missing from proposed company mapping.,"activia fruits mixés | Activia So Délicat Pointe de Citron Vert | Yaourt Activia au bifidus | Activia Recette au fromage blanc (2,9 % MG) Saveur Vanille | Activia Céréales | Lowfat Yogurt with prune | Activia Mix&Go Muesli Amandes Quinoa Graines de Chia | Mix & go | activia mix&go | ACTIVIA | Activia | Activia | activia sbah | Activia 0% MG pack découverte | Yog. act. farro GR. 125X4 Danone | Danone Activia Fibre Semi Fico X4 | Activia орех и овес","Activia, Danone | Activia, Danone | Activia, danone | Activia, Danone | Activia, Danone | Activia | activia | Activia | Activia | Activia | Activia, DANONE | Activia, danone | Activia | Activia | Danone,Activia | Danone, Activia | Danone, Activia | Activia, Danone",append_candidate,direct,
tesco,Tesco,direct,snacks,UK_IE,UK_IE,tesco,United Kingdom | Ireland | Hong Kong | Saudi Arabia,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Tesco,Manual review / complex ownership,Manual review / complex ownership,261,Obvious Tesco retailer/private-label brand line.,All butter shortbread fingers | Salt & Pepper crackers | 4 Blueberry Muffins | Rich tea biscuits | Nice Biscuits | Custard Creams | MARSHMALLOWS | White Cooking Chocolate | Scottish Rough Oatcakes | Classic assortment sweet biscuits | Raspberry and hazelnut dark chocolate | Rich shorties biscuits,Tesco | Tesco | Tesco | Tesco | Tesco | Tesco | Tesco | TESCO | Tesco | Tesco | Tesco | Tesco | Tesco,append_candidate,direct,
monoprix,Monoprix,direct,beverages,FRANCE,FRANCE,monoprix,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,256,Obvious Monoprix retailer/private-label brand line.,"Smoothie banane framboise | Café soluble tradition | Café soluble | Vieux calvados du pays d'Auge , élevé en fût de chêne | Rhum Ambré","Monoprix | Monoprix | Monoprix | Monoprix | Monoprix, Sequana",append_candidate,direct,
lidl,Lidl,direct,snacks,FRANCE,FRANCE,lidl,France | Czech Republic | Bulgaria | Croatia | European Union,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lidl,Manual review / complex ownership,Manual review / complex ownership,250,Obvious Lidl retailer/private-label brand line.,maître jean pierre chinois | Macarons foie de canard et figue | Bio chocolat noir | ma tablette a partager | Chips a la truffe d'ete | Jerky | Jelly Beans Sweet | Jelly Beans Sour | Waffles Witherspoon Belgrano chocolate filling | Bio waffles with honey (gauffres au miel),"LiDL | Lidl | Lidl | lidl | Lidl | Lidl | Lidl, Surgarland | Lidl, SugarLand | Lidl | lidl",append_candidate,direct,
leclerc,E.Leclerc,direct,dairies,FRANCE,FRANCE,leclerc,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,249,Obvious E.Leclerc retailer/private-label brand line.,Cantal Vieux AOP | Brillat savarin | Emmental longe lait cru | Emmental longe lait cru | Lingot d'or,"Leclerc, traditions terroirs | Leclerc | Leclerc | Leclerc | Leclerc",append_candidate,direct,
Walkers,PepsiCo,direct,snacks,UK_IE,UK_IE,walkers,United Kingdom | Ireland | Gibraltar | Guernsey | Poland | South Africa,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Manual review / complex ownership,Manual review / complex ownership,244,Known PepsiCo brand / regional alias missing from proposed mapping.,walkers | Cheese and onion | ked e use carefully ty ingredients never fried... | Prawn cocktail | Vegan Grilled Cheese Toastie Crisps | Baked prawn cocktail flavour | Twisted Sweet & Spicy | Supreme prawn cocktail | Salt & Vinegar Crisps | Baked Cheese & Onion Snacks | Marmite crisps | Squares Salt & Vinegar | Sensations Roasted Chicken & Thyme | Stem Ginger Shortbread,"Walkers | Walkers | Walkers | Walkers | Walkers | Walkers | Walkers, Cheetos | Walkers | Walkers | Walkers | Walkers",append_candidate,direct,
