brand_key,canonical_brand,top_matrix_brand,change_type,reason,current_parent_company,current_brand,current_primary_brand_db,current_category,current_hq_country,current_status,current_market_scope,current_region_codes_include,current_country_tags_include,current_country_tags_exclude,current_product_scope_note,current_notes,proposed_parent_company,proposed_brand,proposed_primary_brand_db,proposed_category,proposed_status,proposed_market_scope,proposed_scope_rule_type,proposed_region_codes_include,proposed_region_codes_exclude,proposed_country_tags_include,proposed_country_tags_exclude,proposed_product_scope_note,proposed_notes,source_type,needs_manual_review
beyond,Beyond,Beyond,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,beyond,beyond,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
boost,Boost,Boost,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,boost,boost,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
buitoni,Buitoni,Buitoni,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,buitoni,buitoni,snacks,CH,direct,,,,,,Pasta and Italian food brand,Nestlé,buitoni,buitoni,snacks,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
busy bone,Busy Bone,Busy Bone,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,busy bone,busy bone,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
buxton,Buxton,Buxton,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,buxton,buxton,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
cailler,Cailler,Cailler,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,cailler,cailler,snacks,CH,direct,,,,,,Swiss chocolate brand; relevant for Switzerland/Europe,Nestlé,cailler,cailler,snacks,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
carnation,Carnation,Carnation,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,carnation,carnation,powder_drinks,CH,direct,,,,,,Evaporated milk and milk powder/creamer products; market scope varies,Nestlé,carnation,carnation,dairies,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; duplicate listing collapsed to one matrix row,official_company_brand_list,no
cat chow,Cat Chow,Cat Chow,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,cat chow,cat chow,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
cerelac,Cerelac,Cerelac,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,cerelac,cerelac,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
cheerios,Cheerios,Cheerios,modify_scope_or_metadata,"Same owner found, but proposed source changes status/scope/metadata.",Cereal Partners Worldwide,cheerios,cheerios,breakfast_cereals,CH,market_scoped,Europe / many non-US CPW markets,FRANCE|UK_IE|DACH|BENELUX|NORDICS|SOUTHERN_EUROPE,,,Use when OFF country/region tags indicate covered European CPW markets,CPW/Nestlé-branded cereals in Europe and many non-US markets,Cereal Partners Worldwide,cheerios,cheerios,cereals,market_scoped,UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE,,,,Joint Venture Split,Exception file assigns Cheerios to General Mills in the US,both,yes
cheerios,Cheerios,Cheerios,keep_unchanged,Current row matches proposed parent/status/scope.,General Mills,cheerios,cheerios,breakfast_cereals,US,market_scoped,US / Canada,US_CANADA,,,Use when OFF country/region tags indicate US or Canada,General Mills in US/Canada,General Mills,cheerios,cheerios,cereals,market_scoped,US / Canada,market_specific_assignment,US_CANADA,,,,Joint Venture Split,Exception file assigns Cheerios to General Mills in the US,both,yes
cheerios,,,current_extra_row_for_review,Current row exists for this brand but is not part of the proposed owner rows.,Manual review,cheerios,cheerios,breakfast_cereals,MULTI,manual_review,,,,,"Use when country tags are missing, conflicting, or outside scoped rules","Market-specific ownership: General Mills in US/Canada; Cereal Partners Worldwide/Nestlé-branded in Europe, Latin America, and Asia; CPW/Uncle Tobys in Australia/New Zealand",,,,,,,,,,,,,,,yes
chef,Chef,Chef,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,chef,chef,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
chef boyardee,Chef Boyardee,Chef Boyardee,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Conagra Brands,chef boyardee,chef boyardee,snacks,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Not Nestle (Commonly Confused),Nestlé exception-matrix row not present in official Nestlé A-Z extract used for the Nestlé matrix,global_corporate_exception_matrix,no
chocapic,Chocapic,Chocapic,keep_unchanged,Current row matches proposed parent/status/scope.,Cereal Partners Worldwide,chocapic,chocapic,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; kids/chocolate positioning,Cereal Partners Worldwide,chocapic,chocapic,cereals,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Asset,Exception file assigns Chocapic to CPW,both,no
cini minis,Cini Minis,Cini Minis,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,cini minis,cini minis,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
clusters,,,current_row_not_in_top_matrix,Current mapping row is Nestlé-related but brand is not in Nestlé top-company matrix.,Cereal Partners Worldwide,clusters,clusters,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; market scope varies,,,,,,,,,,,,,,,yes
coffee mate,Coffee mate,Coffee mate,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,coffee mate,coffee mate,powder_drinks,CH,direct,,,,,,Non-dairy creamer/powder beverage adjacent; include only if creamers are in scope,Nestlé,coffee mate,coffee mate,beverages,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
compleat,Compleat,Compleat,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,compleat,compleat,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
contrex,Contrex,Contrex,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,contrex,contrex,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
corn flakes,Corn Flakes,Corn Flakes,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,corn flakes,corn flakes,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
damak,Damak,Damak,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,damak,damak,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
dentalife,Dentalife,Dentalife,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,dentalife,dentalife,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
digiorno,DiGiorno,DiGiorno,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,digiorno,digiorno,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
dog chow,Dog Chow,Dog Chow,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,dog chow,dog chow,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
drumstick,Drumstick,Drumstick Ice Cream,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Froneri,drumstick,drumstick,dairies,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Transitioned,Exception file assigns Drumstick to Froneri; Exception source brand label: Drumstick Ice Cream,both,no
erikli,Erikli,Erikli,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,erikli,erikli,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
essentia,Essentia,Essentia,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,essentia,essentia,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
extreme,Extrême,Extreme Ice Cream,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Froneri,extreme,extreme,dairies,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Transitioned,Exception file assigns Extrême to Froneri; Exception source brand label: Extreme Ice Cream,both,no
fancy feast,Fancy Feast,Fancy Feast,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,fancy feast,fancy feast,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
felix,Felix,Felix,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,felix,felix,out_of_scope_petcare,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,both,yes
fitness,Fitness,Fitness Cereal,keep_unchanged,Current row matches proposed parent/status/scope.,Cereal Partners Worldwide,fitness,fitness,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; adult/wellness positioning,Cereal Partners Worldwide,fitness,fitness,cereals,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Asset,Exception file names this brand Fitness Cereal; official Nestlé A-Z extract names it Fitness; Exception source brand label: Fitness Cereal,both,no
friskies,Friskies,Friskies,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,friskies,friskies,out_of_scope_petcare,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,both,yes
garden gourmet,Garden Gourmet,Garden Gourmet,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,garden gourmet,garden gourmet,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
garden gourmet and harvest gourmet,Garden Gourmet and Harvest Gourmet,Garden Gourmet and Harvest Gourmet,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,garden gourmet and harvest gourmet,garden gourmet and harvest gourmet,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
garden of life,Garden of Life,Garden of Life,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,garden of life,garden of life,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
garoto,Garoto,Garoto,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,garoto,garoto,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
gerber,Gerber,Gerber,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,gerber,gerber,cereals,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
gold flakes,,,current_row_not_in_top_matrix,Current mapping row is Nestlé-related but brand is not in Nestlé top-company matrix.,Cereal Partners Worldwide,gold flakes,gold flakes,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; market scope varies,,,,,,,,,,,,,,,yes
gourmet,Gourmet,Gourmet Cat Food,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,gourmet,gourmet,out_of_scope_petcare,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Exception source brand label: Gourmet Cat Food,both,yes
haagen dazs,Häagen-Dazs,Haagen-Dazs,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Froneri,haagen dazs,haagen dazs,dairies,market_scoped,US / Canada,market_specific_assignment,US_CANADA,,,,Joint Venture / License Split,Exception file assigns Häagen-Dazs US to Froneri; Exception source brand label: Haagen-Dazs,both,yes
haagen dazs,Häagen-Dazs,Haagen-Dazs,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,General Mills,haagen dazs,haagen dazs,dairies,market_scoped,UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE,,,,Joint Venture / License Split,Exception file assigns Häagen-Dazs US to Froneri; Exception source brand label: Haagen-Dazs,both,yes
henniez,HENNIEZ,HENNIEZ,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,henniez,henniez,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
hepar,Hépar,Hépar,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,hepar,hepar,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
herta,Herta,Herta,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Herta JV (Nestlé 40%),herta,herta,snacks,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Asset,Nestlé exception-matrix row not present in official Nestlé A-Z extract used for the Nestlé matrix,global_corporate_exception_matrix,no
hot pockets,Hot Pockets,Hot Pockets,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,hot pockets,hot pockets,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
hsu fu chi,Hsu Fu Chi,Hsu Fu Chi,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,hsu fu chi,hsu fu chi,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
impact,Impact,Impact,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,impact,impact,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
kitkat,KitKat,KitKat,modify_scope_or_metadata,"Same owner found, but proposed source changes status/scope/metadata.",Hershey,kitkat,kitkat,snacks,US,market_scoped,US,US_CANADA,,,Use when OFF country/region tags indicate US/Canada; verify Canada separately if needed,US license for KitKat; Hershey manufactures/distributes under license in the US,Hershey,kitkat,kitkat,snacks,market_scoped,US,market_specific_assignment,,,en:united-states,,Licensing Split,Exception file assigns KitKat US to Hershey,both,yes
kitkat,KitKat,KitKat,modify_scope_or_metadata,"Same owner found, but proposed source changes status/scope/metadata.",Nestlé,kitkat,kitkat,snacks,CH,market_scoped,Non-US / non-US_CANADA markets,FRANCE|UK_IE|DACH|BENELUX|NORDICS|SOUTHERN_EUROPE,,,Use when OFF country/region tags indicate non-US markets covered by this project,Global Nestlé brand except US where Hershey manufactures/distributes under license,Nestlé,kitkat,kitkat,snacks,market_scoped,Canada / UK / Ireland / France,market_specific_assignment,UK_IE|FRANCE|US_CANADA,,,en:united-states,Licensing Split,Exception file assigns KitKat US to Hershey,both,yes
kitkat,,,current_extra_row_for_review,Current row exists for this brand but is not part of the proposed owner rows.,Manual review,kitkat,kitkat,snacks,MULTI,manual_review,,,,,"Use when country tags are missing, conflicting, or outside scoped rules",Market-specific ownership: Nestlé in most non-US markets; Hershey manufactures/distributes under license in the US,,,,,,,,,,,,,,,yes
kitkat cereal,KitKat Cereal,KitKat Cereal,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,kitkat cereal,kitkat cereal,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
kitkat professional,KitKat Professional,KitKat Professional,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,kitkat professional,kitkat professional,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
koko krunch,Koko Krunch,Koko Krunch,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,koko krunch,koko krunch,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
la lechera,La Lechera,La Lechera,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,la lechera,la lechera,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
la vie,La Vie,La Vie,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,la vie,la vie,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
lean cuisine,Lean Cuisine,Lean Cuisine,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,lean cuisine,lean cuisine,food_beverage_review,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
levissima,Levissima,Levissima,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,levissima,levissima,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
life cuisine,Life Cuisine,Life Cuisine,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,life cuisine,life cuisine,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
lily s kitchen,Lily's Kitchen,Lily's Kitchen,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,lily s kitchen,lily s kitchen,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
lion,,,current_row_not_in_top_matrix,Current mapping row is Nestlé-related but brand is not in Nestlé top-company matrix.,Nestlé,lion,lion,snacks,CH,direct,,,,,,Chocolate bar; also cereal brand via CPW in some markets,,,,,,,,,,,,,,,yes
lion cereal,,,current_row_not_in_top_matrix,Current mapping row is Nestlé-related but brand is not in Nestlé top-company matrix.,Cereal Partners Worldwide,lion cereal,lion cereal,breakfast_cereals,CH,direct,,,,,,Nestlé-branded cereal via CPW; indulgent cereal extension,,,,,,,,,,,,,,,yes
lion cereals,Lion Cereals,Lion Cereal,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Cereal Partners Worldwide,lion cereals,lion cereals,cereals,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Asset,Exception file assigns Lion Cereal to CPW; Exception source brand label: Lion Cereal,both,no
maggi,Maggi,Maggi,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,maggi,maggi,snacks,CH,direct,,,,,,Soups sauces and seasonings,Nestlé,maggi,maggi,snacks,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list,both,no
maggi professional,Maggi Professional,Maggi Professional,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,maggi professional,maggi professional,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
materna,Materna,Materna,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,materna,materna,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
maxibon,Maxibon,Maxibon,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Froneri (Nestlé JV),maxibon,maxibon,dairies,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture,Exception file assigns Maxibon to Froneri; Exception file assigns Maxibon to Froneri,both,no
merrick,Merrick,Merrick,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,merrick,merrick,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
milkybar,Milkybar,Milkybar,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,milkybar,milkybar,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
milo,Milo,Milo,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,milo,milo,powder_drinks,CH,direct,,,,,,Malted chocolate powder; energy/nutrition positioning varies by market,Nestlé,milo,milo,beverages,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
minor s,Minor's,Minor's,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,minor s,minor s,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
molico,Molico,Molico,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,molico,molico,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
movenpick,Mövenpick,Movenpick Ice Cream,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Froneri,movenpick,movenpick,dairies,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Joint Venture Transitioned,Exception file row is Mövenpick (Ice Cream); matrix canonicalized to official brand Mövenpick; Exception source brand label: Movenpick Ice Cream,both,no
munch,Munch,Munch,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,munch,munch,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
na eczowianka,Nałęczowianka,Nałęczowianka,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,na eczowianka,na eczowianka,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
nancare,Nancare,Nancare,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,nancare,nancare,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
nescafe,Nescafé,Nescafe,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,nescafe,nescafe,beverages,CH,direct,,,,,,Nestlé instant coffee brand,Nestlé,nescafe,nescafe,beverages,direct,US / Canada / UK / Ireland / France,all_mvp_markets_same_owner,,,,,Wholly Owned,Official Nestlé A-Z brand list; Exception source brand label: Nescafe,both,no
