normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action
danone,danone,Danone,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Danone,Danone,766,Proposed company mapping is concrete; approve for launch.,SKYR | Cottage Cheese | Mousse au fromage blanc sur lit de fruits | Danonino | Skyr,DANONE | Danone | Danone | Danone | Danone,append_candidate
carrefour,carrefour,Carrefour,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,728,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Madeleines moelleuses | Mini galette frangipane | Pain au chocolat | MERVEILLES saupoudrées de sucre cristal | Chouquettes,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate
paturages,paturages,Les Mousquetaires / Intermarché,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Les Mousquetaires / Intermarché,Manual review / complex ownership,Manual review / complex ownership,702,Pâturages is an Intermarché / Les Mousquetaires private-label dairy line.,"Raclette | emmental français rapé | Fromage frais | Flan pâtissier | Faisselle | Yaourt sucre de canne x4 naturéa | Fromage frais nature 3,2% 4x100g | Lait écrémé 0% | Creme fraiche 30% mg epaisse 20cl | YAOURT AU LAIT ENTIER POT VERRE 4X125G - saveur citron | Lait uht 1/2 ecreme bbc bt 50cl | Yaourt au lait entier saveur vanille | Liegeois caramel 4x100g | L'essentiel du yaourt + des framboise & du sucre c'est tout | Mozzarella di bufala aop bio 125g | Fromage Le Carré tendre & fondant","Pâturages | paturages | Pâturages | pâturages | Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché,Paturages,Printiligne | Intermarché, Paturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Intermarché Pâturages, Paturages | Leader Price, Intermarché, Pâturages",append_candidate
yoplait,yoplait,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,645,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,yaourt nature sucré | Source greek grec | Tubes vanille | Yaourt pat patrouille | Petits Filous | Calin,"yoplait | Yoplait | Yoplait | Yoplait | Yoplait | General Mills, Sodiaal, Yoplait",append_candidate
hema,hema,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,643,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Dutch honey waffles | Blode Hjerter | Biscuits muli cereales aux raisins | Sweet Christmas Candy | Lapin Chocolat au Lait,Hema | Hema | Hema | Hema | Hema,append_candidate
casino,casino,Groupe Casino,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,634,Obvious Casino retailer/private-label brand line.,Comté extra 16/21 mois | Emmental français | Emmental Français Est-Central Grand Cru | Emmental bio | Emmental bio,"Casino | Casino | Casino | Casino, Casino Bio | Casino",append_candidate
leader price,leader price,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,630,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Queso manchego | Saint Nectaire Laitier | Comté AOP (34% MG) - 323 g - Leader Price | beurre moulé doux | Fromage à tartiner,Leader Price | Leader Price | Leader Price | Leader Price | Leader Price,append_candidate
lipton,lipton,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,610,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Infusion | Iced Tea Peach | Tisane pêche et mangue naturellement sans caféine | Thé Infusion Fruits | thé orange jaïpur | Lipton Infusion Rooibos Vanille 12 Capsules Compatibles Dolce Gusto®,"Lipton | Lipton | Lipton | Lipton | Lipton | Nestlé, Lipton",append_candidate
casino,casino,Groupe Casino,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,607,Obvious Casino retailer/private-label brand line.,Nectar orange | thé vert sencha | 100% pur jus Orange Sanguine de Sicile pressé | jus d Orange | Jus de pomme,"casino | Casino, casino bio | Casino | casino | Casino",append_candidate
casino,casino,Groupe Casino,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,596,Obvious Casino retailer/private-label brand line.,Panettone aux raisin secs et aux écorces d orange confit | p'tits biscuits fourrage au lait bio | Cookies tout chocolat | Brownie familial | Crackers salés Casino,Casino | casino | Casino | Casino | Casino,append_candidate
starbucks,starbucks,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,596,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"DoubleShot Energy | Starbucks Medium Roast Latin American Blend Iced Coffee 11 Fluid Ounce Glass Bottle | Starbucks Refreshers Strawberry Lemonade 8.4 Oz Can | Starbucks Refreshers Acai Blueberry 8.4 Oz Can | Iced Coffee, Medium Roast",Starbucks | Starbucks | Starbucks | Starbucks | Starbucks,append_candidate
leader price,leader price,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,578,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Crackers | Goûters fourrés | Sablés au chocolat au lait pur beurre de cacao | CROISSANTS X 4 PAIN AU CHOCOLAT X 4 PUR BEURRE | Cookies pépites de chocolat et nougatine,Leader Price | Leader Price | Leader Price | Leader Price | Leader Price,append_candidate
monoprix,monoprix,Monoprix,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,547,Obvious Monoprix retailer/private-label brand line.,Cantal | Cantal | Cantal | Cantal | Cantal,Monoprix | Monoprix | Monoprix | Monoprix | Monoprix,append_candidate
nestle,nestle,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,535,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Coffee Whitener Hazelnut Powder | Velours de Crème Chocolat au lait | ferme et fondant | Nestlé la laitière crème aux oeufs vanille | Nestlé p'tit onctueux,"Nestlé | Nestlé, La Laitière | Nestlé | Nestlé | Nestlé",append_candidate
marque repere,marque repere,E.Leclerc,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,510,Marque Repère is an E.Leclerc private-label brand.,Ecuador | Noir extra | Chocours | Apéro roulés | Equador noir Extra 85% cacao,Marque Repère | Marque Repère | Marque Repère | Marque Repère | Marque Repère,append_candidate
papa johns,papa johns,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,478,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Papa John's, Blueberry Pomegranate, 16 Oz | Papa John's, Schweppes Ginger Ale, 12 Oz | Papa John's, Welchs Grape Soda, 20 Oz | Papa John's, Mountain Dew Voltage, 2 Liter | Papa John's, Crystal Pepsi, 20 Oz",Papa John's | Papa John's | Papa John's | Papa John's | Papa John's,append_candidate
sonic,sonic,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,477,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Sonic, Frozen Lemonade, Large | Cherry Limeade Zero Sugar Drink Mix | Sonic, Mello Yello, Large | Sonic, Powerade Mountain Blast, Small | Sonic, Banana Cream Pie Shake, Large",Sonic | SONIC | Sonic | Sonic | Sonic,append_candidate
tgi fridays,tgi fridays,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,472,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"TGI Friday's, Frappe, Vanilla | TGI Friday's, Strawberry Passion Fruit Tea | TGI Friday's, Coffee Bean & Tea Leaf, Tea, Apricot | TGI Friday's, Blue Raspberry Slush | TGI Friday's, Buttery Nipple",TGI Friday's | TGI Friday's | TGI Friday's | TGI Friday's | TGI Friday's,append_candidate
leclerc,leclerc,E.Leclerc,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,464,Obvious E.Leclerc retailer/private-label brand line.,Mille feuille | Flan nature | Biscuits Vital au son d'avoine et canneberges | Biscuits Vital (chocolat 70%) | Biscuits Praeventia (chocolat),Leclerc | Leclerc | Leclerc | Leclerc | Leclerc,append_candidate
nestle,nestle,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,457,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Galak | KIT KAT THÉ VERT | Kit Kat Mint Créme & Cookie Smash | Kit Kat Bar White | Kit Kat Cookies & Cream,Nestlé | Nestlé | Nestlé | Nestlé | Nestlé,append_candidate
firehouse subs,firehouse subs,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,455,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Firehouse Subs, Fruitwater Fizzy Mixed Berry, 44 Fl Oz | Firehouse Subs, FUZE Diet Lemon Tea, 44 Fl Oz | Firehouse Subs, Firehouse Subs Cherry Lime-aide Light, 44 Fl Oz | Firehouse Subs, Pibb Zero Cherry Vanilla, 22 Fl Oz | Firehouse Subs, Minute Maid Light Lemonade, 22 Fl Oz",Firehouse Subs | Firehouse Subs | Firehouse Subs | Firehouse Subs | Firehouse Subs,append_candidate
cora,cora,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,443,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,barquette chocolat noisette | Gauffre sucree | chocolat dessert noir | Pain au chocolat tournesol ×4 | Pain chocolat,cora | Cora | Cora | Cora | Cora,append_candidate
carrefour,carrefour,Carrefour,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,441,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Eau de source de montagne | Multifruits | chicorée café | Fresh tonicité | pur jus d'orange,Carrefour | Carrefour | carrefour | Carrefour | Carrefour,append_candidate
delisse,delisse,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,426,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Fromage blanc au lait entier | Yaourts aux fruits avec morceaux, abricot ananas pêche poire | Lait demi ecreme | lait écrémé stérilisé uht | crème fraîche légère épaisse",Délisse | Délisse | Délisse | Délisse | Délisse,append_candidate
lindt,lindt,Lindt & Sprüngli,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lindt & Sprüngli,Manual review / complex ownership,Manual review / complex ownership,417,Known Lindt brand / line.,Chocolat noir extra fin aux graines de sésame | Les Grandes 34% noisettes | Barre De Chocolat (extra Crémeux) | Lindt Excellence coconut | Lindt Swiss Thins | Ganache framboise,"Lindt | Lindt | Lindt | Lindt | Lindt | LINDT ET SPRÜNGLI, Lindt, Lindt Création",append_candidate
Lay's,lay's,PepsiCo,direct,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Other / not mapped to a company,Other / not mapped to a company,410,Known PepsiCo brand / regional alias missing from proposed mapping.,"Sour Cream & Onion Potato Chips | Barbecue Flavored Potato Chips, Barbecue | Sour Cream & Onion Flavored Potato Chips, Sour Cream & Onion | BARBECUE FLAVORED POTATO CHIPS | Cheddar & Sour Cream Flavored Potato Chips, Cheddar & Sour Cream | Lay's Sea Salted Thick Cut Potato Chips | Lightly Salted Chips | Potato chips","Lay's | LAY'S | LAY'S | Lay's | LAY'S | Lay's,frito-lay,pepsico | Lay's,frito-lay,pepsico | Fritolay, Lay's",append_candidate
e.leclerc,e.leclerc,E.Leclerc,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,409,Obvious E.Leclerc retailer/private-label brand line.,"Pain chocolat | Brioche des rois | Chaussons aux pommes | 5 pains au chocolat beurre, les 3 meniers",E.Leclerc | E.Leclerc | E.Leclerc | E.Leclerc | E.Leclerc,append_candidate
red robin,red robin,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,406,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Red Robin, Coco Loco | Red Robin, Classic Chocolate Malt, Kid | Red Robin, Strawberry Malt, Monster | Red Robin, Sweet Tea, Raspberry | Red Robin, MGD 64",Red Robin | Red Robin | Red Robin | Red Robin | Red Robin,append_candidate
st michel,st michel,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,397,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,madeleine | Cocottes cereales | madeleine recette de commercy | La Grande Galette French Butter Cookies | Madeleines saint Michel,st michel | St Michel | St Michel | St Michel | St Michel,append_candidate
leader price,leader price,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,390,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Lait de coco | 100% pur jus orange | Jus d'orange | Pur jus d'orange sanguine de Sicile pressée avec pulpe | Qualité filtre extra,Leader Price | Leader Price | Leader Price | Leader Price | Leader Price,append_candidate
white castle,white castle,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,390,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"White Castle, Crave Cooler Fanta Wild Cherry, Large | White Castle, Chocolate Shake, St Louis Only, Large | White Castle, Mello Yello, Small | White Castle, Strawberry Shake, Chicago Region, Medium | White Castle, Chocolate Milk",White Castle | White Castle | White Castle | White Castle | White Castle,append_candidate
Reflets de France,reflets de france,Carrefour,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,388,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Tomette de brebis | Brie de Meaux AOP | COMTE RDF | Reblochon | Reblochon | Crottin de Touraine | Pont - l'Evêque AOP | Chabichou | Chaource AOP | Crème fraîche d'Isigny AOP,"Reflets de France | Reflets de France | Reflets de France | Reflets de France | Reflets de France | Carrefour,Reflets de France | Carrefour, Reflets de France | Carrefour,Interdis,Reflets de France | Carrefour, Reflets de France | Carrefour, Reflets de France",append_candidate
trader joes,trader joes,Manual review / complex ownership,manual_review,snacks,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,388,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Potato chips | Organic Brown Rice Cake Thins | Peanut Butter Filled Pretzel Nuggets | Dark Chocolate Collection truffles | Crispy Crunchy Chocolate Chip Cookies,Trader Joe's | Trader Joe’s | Trader Joe's | Trader Joes | Trader Joe's,append_candidate
cora,cora,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,365,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Sirop de citron | Eau pétillante | JUS D ORANGE FRAIS 1 LITRE | Jus Pomme | 100 % pur jus, Raisin",Cora | Cora | Cora | Cora | Cora,append_candidate
yoplait,yoplait,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Other / not mapped to a company,360,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Fraise, Pêche, Cerise, Ananas, Abricot, Mûre) 4 Pots | Panier de Yoplait Exotique (Ananas, Coco, Mangue) 8 Pots | Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Cerise, Fraise, Framboise, Mûre) 8 Pots | Panier de Yoplait Cerise, Fraise, Framboise, Mûre | Panier de Yoplait Pêche, Poire | Perle de Lait (Fraise) 4 Pots | Perle de Lait Coco en fins éclats (8 pots) | Perle de Lait (Caramel) 4 Pots | Perle de Lait (Nature) 4 Pots | Perle de Lait (Coco en fins éclats) 8 Pots - Offre Économique | Yaourt sucré, aux fruits, aromatisé | Panier de Yoplait Fraise - Framboise | Panier de Yoplait Plus de fruits | PANIER DE YOPLAIT | Panier de Yoplait j'aime la rhubarbe | Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée au citron, aromatisée | Spécialité laitière sucrée, aromatisée | Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée, au citron, aromatisée | Yop, Fraise | Yop litchi | Yop Vanille | Yop, Parfum Fraise-Banane | Yop, Parfum Framboise (Offre Economique) | Fromage Blanc Battu au Lait Demi-écrémé | Fromage Frais Calin 20% M.G. | Calin Poire et Ananas | Yoplait Calin | Calin+ Fruits Pêche, Abricot, Fraise, Framboise) | Dessert lacté au chocolat | Yop: Ananas Pêche Céréales | Yaourt à boire sucré aromatisé | Yop parfum coco | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire sucré aromatisé | Yaourt à boire","Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Perle de Lait, Yoplait | Perle de Lait,Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop,Yoplait | Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin, Yoplait | Calin+, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop gf, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Yop p'tit yop, Yoplait | Panier 0%, Yoplait | Panier 0%, Yoplait | Panier 0%, Panier de Yoplait, Yoplait | Panier 0%, Yoplait | Panier 0%, Yoplait | Perle de lait nature, Yoplait, spécialités laitières | Perle de lait nature, Yoplait | Perle de lait nature, Yoplait | Perle de lait nature, Yoplait | Perle de lait nature, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits filous pots, Yoplait | Petits Filous, Yoplait | Petits Filous, Yopl",append_candidate
président,président,Lactalis,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lactalis,Manual review / complex ownership,Manual review / complex ownership,355,Known Lactalis brand.,beurre doux | Chevres chauds | Cancoillote | Crème de camembert | Beurre doux La Motte,président | President | Président | President | President,append_candidate
cora,cora,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,352,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Fromage fouetté | Lait demi-écrémé | Yaourt a boire | Comte 18 mois | gruyere IGP,Cora | Cora | Cora | Cora | cora,append_candidate
lu,lu,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,351,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,PIM'S | Pépito chocolat au lait | Lulu la barquette | La barquette LULU | Tuiles amandes (aux amandes effilees) | LU La Paille d'Or aux Framboises | Dinosaurus Chocolat | Pépito pockitos chocolat noir | Pépito Chocolat au lait | Edition Spéciale LU | Pépito chocolat au lait,"LU | LU | LU | Lu | LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Foods, LU | Kraft Food, Lu, Mondelez, Pépito, Unilever",append_candidate
carrefour,carrefour,Carrefour,direct,beverages,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,350,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",NECTAR partiellement à base de concentrés MULTIFRUITS | Decaffeinato | Limonade zero* | 100% pur jus jus d'orange sans pulpe | MANZANA Liqueur saveur pomme,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate
sheetz,sheetz,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,350,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Sheetz, Frozen Latte, Medium | Sheetz, Hot Apple Cider, Medium | Sheetz, Shmart Java Latte, Medium | Sheetz, Hero Milkshake | Sheetz, Root Beer Float",Sheetz | Sheetz | Sheetz | Sheetz | Sheetz,append_candidate
