variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
mondelez international,mondelez,prefix,26,236,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
carrefour market,carrefour,prefix,24,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour classic,carrefour,prefix,23,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
giant eagle inc.,giant,prefix,23,362,high,confirm,Non-executable guardrail; exact reviewed evidence required.
k classic,k-classic,punctuation,22,77,high,confirm,Non-executable guardrail; exact reviewed evidence required.
malt-o-meal,malt o meal,punctuation,22,54,high,confirm,Non-executable guardrail; exact reviewed evidence required.
look o look,Look-O-Look,reviewed_retailer_candidate_false_positive,49,,high,confirm,reviewed Intermarché France decision; company_decision=not Intermarché; source=intermarche_private_label_review_20260830
aldi specially selected,Specially Selected,reviewed_aldi_private_label,1,,high,confirm,reviewed Aldi France decision; company_decision=Aldi; source=aldi_private_label_review_20260831
asda extra special,Asda Extra Special,reviewed_asda_private_label,25,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
carrefour kids,carrefour,prefix,22,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
atkins nutritionals inc.,atkins,prefix,21,120,high,confirm,Non-executable guardrail; exact reviewed evidence required.
delhaize america inc.,delhaize,prefix,21,474,high,confirm,Non-executable guardrail; exact reviewed evidence required.
aldi einkauf gmbh & compagnie-ohg,aldi,prefix,20,1305,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lindt lindor,lindt,prefix,20,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s eat well,m&s,prefix,20,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
post foods llc,post,prefix,20,164,high,confirm,Non-executable guardrail; exact reviewed evidence required.
revillon chocolatier,revillon,prefix,20,162,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply asia,simply,prefix,20,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply enjoy,simply,prefix,20,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
arizona snack company,arizona,prefix,19,284,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour extra,carrefour,prefix,19,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle coffee mate,nestle,prefix,19,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply indulgent gourmet,simply,prefix,19,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
popcorn indiana llc,popcorn indiana,geo_suffix,19,25,high,,suffix removed: 'llc'
m&s bakery,m&s,prefix,18,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m&s collection,m&s,prefix,18,469,high,confirm,Non-executable guardrail; exact reviewed evidence required.
meijer naturals,meijer,prefix,18,1401,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply orange,simply,prefix,18,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
capri sun,capri-sun,punctuation,17,70,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pop tarts,pop-tarts,punctuation,17,54,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m budget,M-Budget,reviewed_migros_private_label,37,,high,confirm,reviewed Migros France spillover decision; company_decision=Migros; source=migros_private_label_review_20260831
barilla g & r f.lli s.p.a.,barilla,prefix,17,502,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour sensation,carrefour,prefix,17,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
chobani flip,chobani,prefix,17,283,high,confirm,Non-executable guardrail; exact reviewed evidence required.
dannon light + fit,dannon,prefix,17,234,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
kettle chips,kettle,prefix,17,219,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nescafe dolce gusto,nescafe,prefix,17,305,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply m&s,simply,prefix,17,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply roundy's,simply,prefix,17,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
utz quality foods inc.,utz,prefix,17,120,high,confirm,Non-executable guardrail; exact reviewed evidence required.
morrisons the best,morrisons,prefix,16,821,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
nestle dessert,nestle,prefix,16,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
planters nut-rition,planters,prefix,16,120,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal soda,royal,prefix,16,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
torn & glasser inc,torn & glasser,geo_suffix,16,68,high,,suffix removed: 'inc'
casino delices,Casino Délices,reviewed_groupe_casino_private_label,73,,high,confirm,reviewed Groupe Casino France decision; company_decision=Groupe Casino; source=groupe_casino_private_label_review_20260831
jardin bio etic,jardin bio,prefix,15,407,high,confirm,Non-executable guardrail; exact reviewed evidence required.
krispy kreme doughnuts,krispy kreme,prefix,15,141,high,confirm,Non-executable guardrail; exact reviewed evidence required.
morrisons savers,morrisons,prefix,15,821,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
nestle toll house,nestle,prefix,15,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
paturages (intermarche),paturages,prefix,15,692,high,confirm,Non-executable guardrail; exact reviewed evidence required.
peeps & company,peeps,prefix,15,141,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour le marche,carrefour-le-marche,punctuation,14,29,high,confirm,Non-executable guardrail; exact reviewed evidence required.
boni selection,boni,prefix,14,129,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour baby,carrefour,prefix,14,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coop prix garantie,Prix Garantie,reviewed_swiss_coop_private_label,12,,high,confirm,reviewed Swiss Coop cleanup; company_decision=Coop; source=coop_swiss_private_label_cleanup_20260831
fresh & easy llc,fresh & easy,prefix,14,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
gold emblem abound,gold emblem,prefix,14,264,high,confirm,Non-executable guardrail; exact reviewed evidence required.
isey skyr,isey,prefix,14,97,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kings super markets inc,kings,prefix,14,105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mars norge as,mars,prefix,14,308,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal dansk,royal,prefix,14,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
storck usa lp,storck,prefix,14,133,high,confirm,Non-executable guardrail; exact reviewed evidence required.
the bakery at asda,The Bakery at Asda,reviewed_asda_private_label,6,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
tops markets llc,tops,prefix,14,414,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yeo valley organic,yeo valley,prefix,14,77,high,confirm,Non-executable guardrail; exact reviewed evidence required.
hilco llc,hilco,geo_suffix,14,21,high,,suffix removed: 'llc'
popcornopolis llc,popcornopolis,geo_suffix,14,19,high,,suffix removed: 'llc'
coffee-mate,coffee mate,punctuation,13,19,high,confirm,Non-executable guardrail; exact reviewed evidence required.
auchan baby,Auchan Baby,reviewed_auchan_private_label,2,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Baby - Crème dessert vanille
kellogg's special k,special k,prefix,13,1337,high,confirm,manual correction: preserve specific cereal brand
la boulangere bio,la boulangere,prefix,13,281,high,confirm,Non-executable guardrail; exact reviewed evidence required.
morrisons baked by us,morrisons,prefix,13,821,high,confirm,Non-executable guardrail; exact reviewed evidence required.
twinings of london,twinings,prefix,13,270,high,confirm,Non-executable guardrail; exact reviewed evidence required.
western family foods inc.,western family,prefix,13,67,high,confirm,Non-executable guardrail; exact reviewed evidence required.
two bite,two-bite,punctuation,12,98,high,confirm,Non-executable guardrail; exact reviewed evidence required.
7 eleven,7-eleven,punctuation,12,43,high,confirm,Non-executable guardrail; exact reviewed evidence required.
dar vida,dar-vida,punctuation,12,13,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio today,bio,prefix,12,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
delhaize bio,delhaize,prefix,12,474,high,confirm,Non-executable guardrail; exact reviewed evidence required.
deluxe lidl,Deluxe,prefix,12,317,high,confirm,Non-executable guardrail; exact reviewed evidence required.
franprix bio,Franprix Bio,reviewed_groupe_casino_private_label,10,,high,confirm,reviewed Groupe Casino France decision; company_decision=Groupe Casino; source=groupe_casino_private_label_review_20260831
hammond's candies since 1920 llc,hammond's,prefix,12,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
krispy kreme doughnut corporation,krispy kreme,prefix,12,141,high,confirm,Non-executable guardrail; exact reviewed evidence required.
orangina schweppes,orangina,prefix,12,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
paturages comtois,Pâturages Comtois,reviewed_retailer_candidate_false_positive,12,,high,confirm,reviewed Intermarché France decision; company_decision=not Intermarché; source=intermarche_private_label_review_20260830
rana meal solutions llc,rana,prefix,12,79,high,confirm,Non-executable guardrail; exact reviewed evidence required.
rummo lenta lavorazione,rummo,prefix,12,85,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply market,simply,prefix,12,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
suja organic,suja,prefix,12,87,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wegmans food markets,wegmans,prefix,12,943,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fun sweets llc,fun sweets,geo_suffix,12,12,high,,suffix removed: 'llc'
frito-lay,frito lay,punctuation,11,31,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jean louis bissardon,jean-louis bissardon,punctuation,11,19,high,confirm,Non-executable guardrail; exact reviewed evidence required.
aunt millie's bakehouse,aunt millie's,prefix,11,115,high,confirm,Non-executable guardrail; exact reviewed evidence required.
califia farms lp,califia farms,prefix,11,111,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lidl deluxe,Lidl,prefix,11,1687,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
meijer distribution inc.,meijer,prefix,11,1401,high,confirm,Non-executable guardrail; exact reviewed evidence required.
migros selection,Migros Sélection,reviewed_migros_private_label,9,,high,confirm,reviewed Migros France spillover decision; company_decision=Migros; source=migros_private_label_review_20260831
mondelez norge as,mondelez,prefix,11,236,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
okf corporation,okf,prefix,11,65,high,confirm,Non-executable guardrail; exact reviewed evidence required.
panzani +,panzani,prefix,11,276,high,confirm,Non-executable guardrail; exact reviewed evidence required.
yoplait original,yoplait,prefix,11,826,high,confirm,Non-executable guardrail; exact reviewed evidence required.
frito-lay company,frito-lay,geo_suffix,11,11,high,,suffix removed: 'company'
love grown foods llc,love grown foods,geo_suffix,11,14,high,,suffix removed: 'llc'
cheez it,cheez-it,punctuation,10,64,high,confirm,Non-executable guardrail; exact reviewed evidence required.
cafe tasse,cafe-tasse,punctuation,10,52,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arla foods,arla,prefix,10,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
asda exceptional,Exceptional by Asda,reviewed_asda_private_label,6,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
auchan baby bio,Auchan Baby Bio,reviewed_auchan_private_label,6,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Brassé Nature sucré
cape cod provisions llc.,cape cod,prefix,10,104,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca cola zero,coca cola,prefix,10,134,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
golden flake snack foods inc.,golden flake,prefix,10,52,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jacobs douwe egberts,jacobs,prefix,10,77,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jarritos inc.,jarritos,prefix,10,50,high,confirm,Non-executable guardrail; exact reviewed evidence required.
milbona (lidl),Milbona,prefix,10,703,high,confirm,Non-executable guardrail; exact reviewed evidence required.
oasis tropical,oasis,prefix,10,162,high,confirm,Non-executable guardrail; exact reviewed evidence required.
papa john's salads & produce,papa john's,prefix,10,478,high,confirm,Non-executable guardrail; exact reviewed evidence required.
regain bio,Regain,reviewed_intermarche_private_label,7,,high,confirm,reviewed Intermarché France decision; company_decision=Intermarché; source=intermarche_private_label_review_20260830
simply gum,simply,prefix,10,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply protein,simply,prefix,10,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
the fresh market inc.,the fresh market,prefix,10,185,high,confirm,Non-executable guardrail; exact reviewed evidence required.
verquin confiseur,verquin,prefix,10,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mamma chia llc,mamma chia,geo_suffix,10,28,high,,suffix removed: 'llc'
new york bakery co,new york bakery,geo_suffix,10,21,high,,suffix removed: 'co'
aldi bio,BIO,reviewed_aldi_private_label,10,,high,confirm,reviewed Aldi France decision; company_decision=Aldi; source=aldi_private_label_review_20260831
arla foods inc.,arla,prefix,9,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio des peupliers,bio,prefix,9,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio nat',bio,prefix,9,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
calbee north america llc,calbee,prefix,9,59,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour classic',carrefour,prefix,9,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
celestial seasonings inc.,celestial seasonings,prefix,9,97,high,confirm,Non-executable guardrail; exact reviewed evidence required.
good & gather organic,good & gather,prefix,9,217,high,confirm,Non-executable guardrail; exact reviewed evidence required.
hershey's kisses,hershey's,prefix,9,224,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
hy-vee select,hy-vee,prefix,9,552,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kashi go,kashi,prefix,9,190,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kraft singles,kraft,prefix,9,280,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
lidl stiftung & co. kg,Lidl,prefix,9,1687,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nature's promise organic,nature's promise,prefix,9,147,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle la laitiere,nestle,prefix,9,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle norge as,nestle,prefix,9,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pepsi max,pepsi,prefix,9,343,high,confirm,Non-executable guardrail; exact reviewed evidence required.
president professionnel,president,prefix,9,528,high,confirm,Non-executable guardrail; exact reviewed evidence required.
russell stover candies inc.,russell stover,prefix,9,358,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsburys taste the difference,sainsburys,prefix,9,207,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
signature springs llc,signature,prefix,9,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply kraft,simply,prefix,9,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
yoplait light,yoplait,prefix,9,826,high,confirm,Non-executable guardrail; exact reviewed evidence required.
la belle iloise,la belle-iloise,punctuation,8,45,high,confirm,Non-executable guardrail; exact reviewed evidence required.
grand-mere,grand mere,punctuation,8,31,high,confirm,Non-executable guardrail; exact reviewed evidence required.
auchan mmm,Auchan MMM!,reviewed_auchan_private_label,7,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Bleu d'Auvergne
big y foods inc.,big y,prefix,8,89,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio albon,bio,prefix,8,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio gam,bio,prefix,8,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio hombre,bio,prefix,8,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bio naturae,bio,prefix,8,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
brookshire's bakery,brookshire's,prefix,8,248,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour original,carrefour,prefix,8,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
chobani inc.,chobani,prefix,8,283,high,confirm,Non-executable guardrail; exact reviewed evidence required.
co-op irresistible,co-op,prefix,8,106,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coop fine food,Fine Food,reviewed_swiss_coop_private_label,5,,high,confirm,reviewed Swiss Coop cleanup; company_decision=Coop; source=coop_swiss_private_label_cleanup_20260831
costa coffee,costa,prefix,8,50,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
fage total,fage,prefix,8,124,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fannie may confections inc.,fannie may,prefix,8,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
goya foods inc.,goya,prefix,8,95,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jacobs douwe egberts norge as,jacobs,prefix,8,77,high,confirm,Non-executable guardrail; exact reviewed evidence required.
karma kombucha,karma,prefix,8,59,high,confirm,Non-executable guardrail; exact reviewed evidence required.
key food stores co-operative inc.,key food,prefix,8,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monoprix bio origines,Monoprix Bio Origines,reviewed_groupe_casino_private_label,8,,high,confirm,reviewed Groupe Casino France decision; company_decision=Groupe Casino; source=groupe_casino_private_label_review_20260831
monster munch,monster,prefix,8,233,,manual_review,reviewed product-level evidence required.
morrisons signature,morrisons,prefix,8,821,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
naked juice,naked,prefix,8,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nice & natural,nice,prefix,8,121,high,confirm,Non-executable guardrail; exact reviewed evidence required.
old orchard brands llc.,old orchard,prefix,8,86,high,confirm,Non-executable guardrail; exact reviewed evidence required.
orgain inc.,orgain,prefix,8,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pepperidge farm farmhouse,pepperidge farm,prefix,8,271,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsbury's so organic,sainsbury's,prefix,8,1036,high,confirm,Non-executable guardrail; exact reviewed evidence required.
simply delicious inc.,simply,prefix,8,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
simply go,simply,prefix,8,109,,manual_review,non-exact Simply matches are candidate generation only and cannot normalize to bare Simply automatically
societe laitiere de vichy,societe,prefix,8,57,high,confirm,Non-executable guardrail; exact reviewed evidence required.
spartan stores inc.,spartan,prefix,8,260,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tillamook country smoker inc,tillamook,prefix,8,211,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tootsie roll,tootsie,prefix,8,97,high,confirm,Non-executable guardrail; exact reviewed evidence required.
tootsie roll industries inc.,tootsie,prefix,8,97,high,confirm,Non-executable guardrail; exact reviewed evidence required.
v8 splash,v8,prefix,8,105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
c2o llc,c2o,geo_suffix,8,14,high,,suffix removed: 'llc'
olson's baking company llc,olson's baking company,geo_suffix,8,8,high,,suffix removed: 'llc'
probar llc,probar,geo_suffix,8,12,high,,suffix removed: 'llc'
maitre jean-pierre,maitre jean pierre,punctuation,7,124,high,confirm,Non-executable guardrail; exact reviewed evidence required.
fever tree,fever-tree,punctuation,7,74,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca cola company,coca-cola company,punctuation,7,29,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
port salut,port-salut,punctuation,7,25,high,confirm,Non-executable guardrail; exact reviewed evidence required.
pop secret,pop-secret,punctuation,7,24,high,confirm,Non-executable guardrail; exact reviewed evidence required.
delaunay-leveille,delaunay leveille,punctuation,7,20,high,confirm,Non-executable guardrail; exact reviewed evidence required.
brasserie du mont-blanc,brasserie du mont blanc,punctuation,7,15,high,confirm,Non-executable guardrail; exact reviewed evidence required.
mont-pele,mont pele,punctuation,7,12,high,confirm,Non-executable guardrail; exact reviewed evidence required.
be kind,be-kind,punctuation,7,10,high,confirm,Non-executable guardrail; exact reviewed evidence required.
auchan collection,Auchan Collection,reviewed_auchan_private_label,26,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: 100% Pur Jus Orange IGP ValenciaSans sucres ajoutés** Comme tous les jus de fruits. Contient les sucres naturellement présents dans les frui
auchan gourmet,Auchan Gourmet,reviewed_auchan_private_label,109,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: Auchan 100% BRESILFin et douxCapsules aluminium
bel brands usa inc.,bel,prefix,7,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
borden inc.,borden,prefix,7,125,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour city,carrefour,prefix,7,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coop naturaplan bio,Naturaplan,reviewed_swiss_coop_private_label,8,,high,confirm,reviewed Swiss Coop cleanup; company_decision=Coop; source=coop_swiss_private_label_cleanup_20260831
edeka bio,edeka,prefix,7,73,high,confirm,Non-executable guardrail; exact reviewed evidence required.
harris teeter organics,harris teeter,prefix,7,474,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kind inc.,kind,prefix,7,328,high,confirm,Non-executable guardrail; exact reviewed evidence required.
le ster le patissier,le ster,prefix,7,96,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotte chilsung beverage co. ltd.,lotte,prefix,7,63,high,confirm,Non-executable guardrail; exact reviewed evidence required.
metro candy sales,metro,prefix,7,93,high,confirm,Non-executable guardrail; exact reviewed evidence required.
naked bread,naked,prefix,7,117,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nestle health science,nestle,prefix,7,3514,high,confirm,Non-executable guardrail; exact reviewed evidence required.
nice choice,nice,prefix,7,121,high,confirm,Non-executable guardrail; exact reviewed evidence required.
royal club,royal,prefix,7,100,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsbury's bakery,sainsbury's,prefix,7,1036,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sanpellegrino usa inc.,sanpellegrino,prefix,7,52,high,confirm,Non-executable guardrail; exact reviewed evidence required.
spar natur*pur,spar,prefix,7,208,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sunrise deli,sunrise,prefix,7,66,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sunrise natural foods sugar land,sunrise,prefix,7,66,high,confirm,Non-executable guardrail; exact reviewed evidence required.
waitrose duchy organic,waitrose,prefix,7,740,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
walkers shortbread ltd.,walkers,prefix,7,336,,manual_review,reviewed product-level evidence required.
late july snacks llc,late july snacks,geo_suffix,7,29,high,,suffix removed: 'llc'
the co operative,the co-operative,punctuation,6,22,high,confirm,Non-executable guardrail; exact reviewed evidence required.
e-leclerc,e leclerc,punctuation,6,13,high,confirm,Non-executable guardrail; exact reviewed evidence required.
go-tan,go tan,punctuation,6,12,high,confirm,Non-executable guardrail; exact reviewed evidence required.
365 whole foods,365,prefix,6,81,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ahmad tea london,ahmad tea,prefix,6,60,high,confirm,Non-executable guardrail; exact reviewed evidence required.
arla foods production,arla,prefix,6,159,high,confirm,Non-executable guardrail; exact reviewed evidence required.
asda free from,Asda Free From,reviewed_asda_private_label,7,,high,confirm,reviewed Asda UK/IE decision; company_decision=Asda; source=asda_private_label_review_uk_ie_20260901
