review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts,scenario_c2_reinclude,scenario_c2_rule,scenario_c2_proposed_treatment,scenario_c2_review_status,scenario_c2_rationale
11,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4012824401938,Énergie du thé vert,yogitea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/401/282/440/1938/front_fr.16.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,,0.0,10.0,20.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
12,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4012824404663,Pure hapiness thé,yogi tea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/401/282/440/4663/front_fr.16.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
13,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5055953902463,Thé vert,twinings,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/505/595/390/2463/front_fr.35.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
14,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8000990100010,Thé yellow label,lipton,LIPTON Teas and Infusions,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/800/099/010/0010/front_nl.37.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
15,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968053612,Tonissteiner orange fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/805/3612/front_fr.20.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,5.2,4.0600000000000005,1.1399999999999997,0.2192307692307691,0.2192307692307691,0.07,0.9,0.02,0.9,0.01,,0.05,1.3461538461538465,17.307692307692307,0.3846153846153846,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
16,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968031658,Tönissteiner Orange Fit limonade,privatbrunnen tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/803/1658/front_fr.8.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.57575757575758,1.230303030303031,0.3454545454545492,0.219230769230771,0.219230769230771,0.0212121212121212,0.272727272727273,0.006060606060606,0.272727272727273,0.0003030303030303,,0.0151515151515152,1.3461538461538418,17.307692307692278,0.3846153846153797,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
17,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,31200457035,Cranberry,oceanspray,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/003/120/045/7035/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,7.6,2.4000000000000004,0.24,0.24,0.0,1.9,0.0,1.9,0.0,0.0,0.01,0.0,19.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
18,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3249760011315,Miss O! - Orangina et sa pulpe!,orangina,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/324/976/001/1315/front_fr.7.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,8.0,6.0,2.0,0.25,0.25,0.1,1.4,0.0,1.2,0.0,0.3,0.0,1.25,17.5,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
19,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968031634,Tönissteiner Zitrone Fit,privatbrunnen tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/803/1634/front_nl.6.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.3,3.13,1.17,0.2720930232558139,0.2720930232558139,0.06,0.7,0.01,0.7,0.006,,0.02,1.3953488372093024,16.279069767441857,0.2325581395348837,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
20,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410221333088,Gini Lemon Zero,gini,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/022/133/3088/front_fr.19.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,5.0,3.6,1.4,0.2799999999999999,0.2799999999999999,0.1,0.8,0.0,0.6,0.0,0.1,0.1,2.0,16.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
21,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001620,Tönissteiner citron,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1620/front_fr.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
22,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001637,Tonissteiner zitrone fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1637/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
23,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968053117,Zitrone fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/805/3117/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,0.0,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
24,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000120977,Fanta Zero,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/012/0977/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,6.8,3.2,0.32,0.32,0.0,1.7,0.0,1.7,0.0,,0.0,0.0,17.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
25,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3092719701443,Sirop de pamplemousse rose zero sucres,teisseire,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/309/271/970/1443/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,3.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,,0.01,0.0,16.666666666666664,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10;plausible_alcohol_formula_exception_energy_le100,include_in_market_overview_calculations_and_charts,pending_julia_review,Alcohol/fermented beverage name pattern with plausible energy <=100 kcal/100g; macro formula does not capture alcohol energy.
26,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,31200457011,Cranberry 0% sucres ajoutés,ocean spray,Ocean Spray,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/003/120/045/7011/front_fr.56.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,6.0,4.0,0.4,0.4,0.0,1.5,0.0,1.5,0.0,0.0,0.04,0.0,15.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
27,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000235367,Fanta zero orange,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/023/5367/front_fr.37.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,3.0,1.6,1.4,0.4666666666666666,0.4666666666666666,0.0,0.4,0.0,0.4,0.0,,0.01,0.0,13.333333333333334,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
28,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480002686,Schweppes Zero Agrum',schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/000/2686/front_en.155.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
29,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480196248,"SCHWEPPES AGRUMES ZERO 1,5L",s.a schweppes international,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/019/6248/front_fr.32.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
30,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3595801321081,Schweppes Agrum' Zero,schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/359/580/132/1081/front_fr.10.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
31,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410221205194,Schweppes Zero agrumes,schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/022/120/5194/front_fr.17.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
32,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8722700129523,Lipton Thé Vert Classique Goût Léger & Subtil 50 Sachets,lipton,LIPTON Teas and Infusions,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/872/270/012/9523/front_fr.40.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.0,2.0,2.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
33,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5400141393071,Sirop grenadine-cranberry 0%,boni,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/540/014/139/3071/front_fr.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,13.0,5.6,7.4,0.5692307692307692,0.5692307692307692,0.0,1.4,0.0,0.5,0.0,3.6,0.25,0.0,10.769230769230768,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
34,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3245677720678,Grande,auchan,Auchan,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/324/567/772/0678/front_en.15.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
35,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3760324842096,Thé vert menthe,la fourche,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/376/032/484/2096/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False,True,beverage_energy_le60_abs_gap_le10,include_in_market_overview_calculations_and_charts,pending_julia_review,Low/normal-energy beverage with energy <=60 kcal/100g and absolute kcal gap <=10; percentage-only macro consistency is too sensitive here.
