region,beverage_view_segment,record_count,product_examples
BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,beverage_preparations_and_alcohol,4,"Chicorée & Café, RICORÉ® L'Original, Boîte de 100g | Capsules Dolce Gusto lungo 16 Capsules | Ovomaltine | Estathé Pesca"
BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,ready_to_drink_beverages,8,Perrier | Multivitamin Capri-Sun | coca cola zero | Gazpacho | Coca-Cola Zero zuccheri Zero caffeina | S. Pellegrino Water | Bebida de almendras natural | Алое Вера с вкус на ягода
BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,unknown_beverage_segment,6,Almendra de Leyenda Mango-Maracuyá AdeS | Yell'oh | Azeitonas verdes | Thè alla Pesca | Coconut nature
BENELUX|FRANCE|SOUTHERN_EUROPE|NORDICS,ready_to_drink_beverages,1,CocaCola Energy
BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,2,Bière blanche | Cuvée du Chateau 2012
BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,6,Goose 312 | Cubanisto | Gauloise ambrée | Fanta Limón | Fanta zero sugar | Appletiser
BENELUX|FRANCE|UK_IE,beverage_preparations_and_alcohol,10,British cider | Thé Earl Grey Empress | Sirop Grenadine Zéro | Sailor Jerry Spiced Carribean Rum | APPLE + ELDERFLOWER | Boost Berry Rooibos Tea + Ginseng | Detox mandatin orange green tea plus vitamins | Cawston Press Ginger Beer | Cappucino Chocolate | Coconut Milk
BENELUX|FRANCE|UK_IE,ready_to_drink_beverages,15,Coconut water | Natural Coconut Water with Pineapple | Cola light | Orange juice from concentrate | CRISTALINE Eau de Source au jus de fruits CITRONNADE 50cl | Capri-sun orange | Limonade au jus de citron pressé bio | Apple and Ginger Juice | Rhubarb | Blonde
BENELUX|FRANCE|UK_IE,unknown_beverage_segment,4,spiced tomato mix | Immunitea Vit hit Immunitea Dragon Fruit + Yuzu | Pomegranate | Sparkling Apple Presse
BENELUX|FRANCE|UK_IE|DACH,ready_to_drink_beverages,1,Volvic Nature 150cl PET
BENELUX|FRANCE|UK_IE|NORDICS|SOUTHERN_EUROPE,ready_to_drink_beverages,1,"Coca-Cola Energy, No Sugar"
BENELUX|FRANCE|US_CANADA,beverage_preparations_and_alcohol,2,"Le Fruit - Orange sans pulpe | Distilled non-alcoholic spirits, citrus"
BENELUX|FRANCE|US_CANADA,ready_to_drink_beverages,2,Coconut Water With Pineapple | Lipton Ice Tea saveur pêche zéro sucres
BENELUX|NORDICS|DACH|UK_IE,beverage_preparations_and_alcohol,1,Coconut milk
BENELUX|NORDICS|FRANCE,beverage_preparations_and_alcohol,1,Barista
BENELUX|NORDICS|FRANCE,ready_to_drink_beverages,2,Fanta Orange | Banana soya
BENELUX|NORDICS|FRANCE|DACH,beverage_preparations_and_alcohol,3,London Dry Gin | Виски ирландский купажированный Джемесон | Capsules NESCAFE DOLCE GUSTO Cappuccino 16 Capsules
BENELUX|NORDICS|FRANCE|DACH,ready_to_drink_beverages,3,"Grant's - Family Reserve | Añejo 7 Años | Passionsfruchtsaft, Passionsfrucht"
BENELUX|NORDICS|FRANCE|DACH,unknown_beverage_segment,1,Dorée
BENELUX|NORDICS|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,Freeze Dried Instant Coffee
BENELUX|NORDICS|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,4,Coke Original Taste | Blanche | Coca-Cola | Boisson Amande Calcium
BENELUX|NORDICS|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,2,Rich and indulgent Hazelnut | corona extra
BENELUX|NORDICS|FRANCE|DACH|UK_IE,beverage_preparations_and_alcohol,2,Cointreau | Vodka triple distilled
BENELUX|NORDICS|FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,The Original Irish Cream
BENELUX|NORDICS|FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L"
BENELUX|NORDICS|FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Suklaanmakuinen soijajuoma
BENELUX|NORDICS|FRANCE|SOUTHERN_EUROPE|DACH,beverage_preparations_and_alcohol,1,Earl Grey
BENELUX|NORDICS|UK_IE,beverage_preparations_and_alcohol,2,Green tea | Rooibos original
BENELUX|NORDICS|UK_IE,ready_to_drink_beverages,1,Coca cola Dreamworld
BENELUX|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,succo di mela
BENELUX|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,1,Lait d'amande
BENELUX|UK_IE,beverage_preparations_and_alcohol,11,Green tea | Patronus Weissbier | Black tea peach hibiscus | Ginger Beer No Added Sugar 2 Litres | Bushmills Irish Whiskey | ruby gaba tea | Bushmills Original Irish Whiskey (40%) | Healthy Energy Apple Raspberry | Lungo 05 café Capsules | Mikeller Taipa West Coast Pale Ale
BENELUX|UK_IE,ready_to_drink_beverages,21,"Still Scottish Mountain Water | Organic soya-based natural drink, UHT | Sok 100% tłoczony na zimno Ananas Melon Mango | Apple, Mango, Spinach & Avocado Smoothie | Orange | Irresistible Sparkling Apple & Raspberry with a hint of Rose Pressé | Raspberry & blackcurrant | Organic Cola | organic elderflower | Smoothie orange, mangue, ananas"
BENELUX|UK_IE,unknown_beverage_segment,9,"Ginger Shot | wild pacific red salmon | The hydrater | Blood orange, pomegranate, orange and lime | ROMY | Stella ZERO | Corona cero | Gut health | Gembersmaak siroop"
BENELUX|UK_IE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,
BENELUX|US_CANADA,beverage_preparations_and_alcohol,3,"Juicy Rickey Sparkling, Cherry - Lime | Calem Rose Porto | jus ceres pomme 1L pqt"
BENELUX|US_CANADA,ready_to_drink_beverages,4,Aloe vera drink with honey | Cream soda | Vanilla organic almond milk with cashew | Cherry
BENELUX|US_CANADA,unknown_beverage_segment,2,"Mocha latte coffee beverage, mocha latte | Bavik Super Pils"
BENELUX|US_CANADA|FRANCE,beverage_preparations_and_alcohol,1,Bière belge artisanale
BENELUX|US_CANADA|FRANCE,unknown_beverage_segment,1,DE MONTAGNE (THE MOUNTAIN)
BENELUX|US_CANADA|FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,Bière blanche
BENELUX|US_CANADA|FRANCE|UK_IE,beverage_preparations_and_alcohol,1,Thé noir aux pétales de rose
DACH|BENELUX|FRANCE,beverage_preparations_and_alcohol,9,"Infusion au citron et au gingembre et aux herbes | Pomegranate green tea | Blueberry white tea | Jim Beam - Kentucky Straight Bourbon Whiskey | Caffè latte macchiato don't just watch the game be part of it! | Caffè Latte Expresso | Caffè Latte caramel | NESCAFÉ 3en1, Café soluble au lait sucré, Boîte de 10 sticks de 16,5g | Classico cialde pe caffè espresso"
DACH|BENELUX|FRANCE,ready_to_drink_beverages,6,PET 50CL PEACH TEA ARIZONA | Arziona Watermelon | Carrefour Bio Gingembre Curcuma & Citron Shot | Fanta orange | Coca light 1.5l | Almdudler original
DACH|BENELUX|FRANCE,unknown_beverage_segment,3,Originale tè verde con miele | Original
DACH|BENELUX|FRANCE|NORDICS,ready_to_drink_beverages,2,Soyamilch | Fanta orange 1.5l
DACH|BENELUX|FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,2,Sangria | Emmi Caffè Latte Balance
DACH|BENELUX|FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,3,Freez Citron Gingembre | Coca-Cola Light | Zero Sugar
DACH|BENELUX|FRANCE|SOUTHERN_EUROPE|NORDICS,ready_to_drink_beverages,1,Coca-Cola Zero
DACH|BENELUX|FRANCE|SOUTHERN_EUROPE|NORDICS|UK_IE,unknown_beverage_segment,1,Alpro tempting and tropical coco low fat
DACH|BENELUX|FRANCE|SOUTHERN_EUROPE|NORDICS|UK_IE|US_CANADA,ready_to_drink_beverages,2,Coca Cola Original taste | Cocacola original 500
DACH|BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,5,"Fanta 0,5 | Coca-Cola Zero Azúcar | Coca-Cola Zero 500ml черная крышка | Original Taste"
DACH|BENELUX|FRANCE|UK_IE,ready_to_drink_beverages,1,Lait de riz et coco
DACH|BENELUX|FRANCE|UK_IE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Red bull sugar free
DACH|BENELUX|NORDICS|FRANCE,beverage_preparations_and_alcohol,1,Ballantine's Finest
DACH|BENELUX|NORDICS|FRANCE,ready_to_drink_beverages,2,Club-Mate Original | Coconut water
DACH|BENELUX|NORDICS|FRANCE|SOUTHERN_EUROPE,unknown_beverage_segment,1,
DACH|BENELUX|NORDICS|FRANCE|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,1,"Alpro Sojadrink, Schokoladen-Geschmack 250ml"
DACH|BENELUX|NORDICS|FRANCE|UK_IE|SOUTHERN_EUROPE,unknown_beverage_segment,2,Kirsche | Geröstete Mandel Ohne Zucker
DACH|BENELUX|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,Salitos Bier mit Tequilageschmack
DACH|BENELUX|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,1,Qualità Oro
DACH|BENELUX|UK_IE,unknown_beverage_segment,1,
DACH|BENELUX|US_CANADA,beverage_preparations_and_alcohol,1,
DACH|BENELUX|US_CANADA,ready_to_drink_beverages,1,water bruisend
DACH|BENELUX|US_CANADA|FRANCE|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,1,Coke Original Taste
DACH|BENELUX|US_CANADA|NORDICS|FRANCE|UK_IE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Tiqle sticks boisson goût fraise
DACH|FRANCE,beverage_preparations_and_alcohol,62,Teebeutel | Much mango | Green tea with honey and plum | Organic tulsi original tea | TULSI GREEN TEA CLASSIC ORGANIC INDIA | Tulsi green tea ashwagandha tea from india | Thé vert cornwall | Veuve Clicquot Champagne Ponsardin Brut | Veuve Clicquot Champagne Ponsardin Brut | Sirop De Fraise
DACH|FRANCE,ready_to_drink_beverages,67,Arizona Green Tea with HONEY and PEACH | Apfelsaft aus Apfelsaftkonzentrat | Jus de pomme Bio naturellement | Boisson au riz bio | Traubensaft | Jus d'orange avec pulpe | Jus d'orange bio | Bio-Saft Karotte | Chateau Balac | Schweppes Ginger ale
DACH|FRANCE,unknown_beverage_segment,57,Orange | Orange | schweres | Rialto Süsser Rotwein | Weißbierradler | Der Feine | Dauerwurst Arlberger | Kokosmilch | Caramel sauce | This is food
DACH|FRANCE|BENELUX,unknown_beverage_segment,1,Caotina original
DACH|FRANCE|BENELUX|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,Backkakao
DACH|FRANCE|BENELUX|UK_IE,beverage_preparations_and_alcohol,1,Bière blonde
DACH|FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,3,Coconut Milk kókusz tej | Irish craft IPA | Heineken 0.0 (alkoholfrei)
DACH|FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Red Bull
DACH|FRANCE|SOUTHERN_EUROPE,unknown_beverage_segment,3,Fresh orange | Amaro svedese | Latella Mango
DACH|FRANCE|SOUTHERN_EUROPE|BENELUX|UK_IE,unknown_beverage_segment,1,Bio pomerančový džus
DACH|FRANCE|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,1,"coca cola 1,75"
DACH|FRANCE|SOUTHERN_EUROPE|US_CANADA,ready_to_drink_beverages,1,Sparkling artesian water 2yrs prod
DACH|FRANCE|UK_IE,beverage_preparations_and_alcohol,1,Nespresso Roma
DACH|FRANCE|UK_IE,unknown_beverage_segment,2,Розовый Джин Premium Pin
DACH|FRANCE|US_CANADA,ready_to_drink_beverages,1,Lemon Soda
DACH|NORDICS|FRANCE|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,L'OR Latte Macchiato Caramel Coffee Pods 8 Servings
DACH|NORDICS|FRANCE|UK_IE,beverage_preparations_and_alcohol,1,Gin Bombay
DACH|NORDICS|SOUTHERN_EUROPE|BENELUX|UK_IE,unknown_beverage_segment,1,Michelberger's Fountain of Youth
DACH|NORDICS|UK_IE,ready_to_drink_beverages,1,Monster Energy Juiced Aussie Lemonade Style
DACH|NORDICS|US_CANADA,ready_to_drink_beverages,1,Pepsi Max Lemon
DACH|NORDICS|US_CANADA,unknown_beverage_segment,1,Sirup Schwip Schwap Zero
DACH|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,3,Processco | Dolce Gusto caffè grande intenso | CAFÉ AU LAIT DECAFFEINATO
DACH|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,2,"Alpro® Barista Mandeldrink, 1 L, UHT | Fanta Madness 2 l"
DACH|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,3,Lindahls pro+ | Tujdinrnnr | Vanilla Turmeric Latte
DACH|SOUTHERN_EUROPE|UK_IE|US_CANADA,ready_to_drink_beverages,1,"Wódka Stock Prestige 0, 5L."
DACH|SOUTHERN_EUROPE|US_CANADA,beverage_preparations_and_alcohol,1,"Aroy-D, Coconut Milk"
DACH|UK_IE,beverage_preparations_and_alcohol,62,Spiced Chai Latte | Barefoot Merlot California | Echinacea & hibiscus infusion | kids cold infuse blackcurrant and apple | Red Wine | Yorkshire Tea | Organic ginger peach tea imp | Vanilla Chai | chenin blanc | DE: Marzipanei Ananasfüllung / EN: Turmeric Teabags
DACH|UK_IE,ready_to_drink_beverages,39,Twinings cold infuse for water bottles | Immune Edition - Lemon & Elderflower | Saskia mineralwasser classic | Tomatensaft | Kong Strong Wild Power Energy Drink Sugar Free | Zero Sugar Cola | Colossus energy drink | Orange Juice Premium | Bio Mandel | Latte soia vaniglia - Vemondo
DACH|UK_IE,unknown_beverage_segment,44,Stuffed Mushrooms | Fassbrause Zitrone | Hibiscus&Lychee | Cult | Serpiente | Ghost In The Shell | Erdnussflips | zinfadel rose | Alkoholfrei | Wasser naturell
DACH|UK_IE|US_CANADA,ready_to_drink_beverages,1,Sicilian Lemon & Lime
DACH|UK_IE|US_CANADA,unknown_beverage_segment,1,Coco Lopez
DACH|US_CANADA,beverage_preparations_and_alcohol,143,"Coconut Milk | Coffee - Instant cajas | Schwarze Oliven | Original Non-Alcoholic Beer | Sharkleberry fin kool aid powdered drink mix | Coffee - Ground | Kool aid pink lemonade drink mix | Bier | Hot cocoa mix marshmallow, hot cocoa | Green Tea - Tagged Bags"
DACH|US_CANADA,ready_to_drink_beverages,73,Mountain dew code red | Tomato Cocktail from Concentrate | 100% Premium Orange Juice from Concentrate | Simply Lemonade with Strawberry | Mango Nectar | Pineapple 100% Juice | Pineapple 100% Juice | kool-aid | Golden Kola | Diet Coke
DACH|US_CANADA,unknown_beverage_segment,224,Plus | Men Hair Growth Nutraceutical | zhxjpe | medytu | Kool-Aid | passion frugt mix | Bio Oat Base | Inferno | Kahlúa | mineragua
FRANCE,beverage_preparations_and_alcohol,25902,Thé blanc de la Reunion | Leffe | Cidre doux de Normandie. | Vieille Vigne | capsule de cafe bio | vin rouge | Cidre Bio Demi-Sec | Thé vert Matcha du Japon | Poudre de lait de coco | Rooibos de Noel
FRANCE,ready_to_drink_beverages,28049,Nectar de cerise | Coca cola | Pur jus de pomme | CREMA CALABACÍN | jus de pomme pétillant | ICE TEA | pur jus de pommes | Jus de pomme bio de Normandie | Jus de pomme | Oreillettes
FRANCE,unknown_beverage_segment,2581,Multi-fibres | Kentish | Vanilla Zero | Cherry Vanilla | Vegan Honey Mustard Dressing | Gentiane | reveil fruite | Зелен чай | LONDON nights | Substitut De Café (mélange Corsé)
FRANCE|BENELUX,beverage_preparations_and_alcohol,85,"Tea tasty tropical | Rooibos green lemon pineapple | Rooibos kokos cacao | Jus de Pomme à base de concentré | Décaféiné capsules souples | Sirop Fleur De Sureau | Vin cabernet sauvignon | Senseo Classique 36 dosettes | ANIS VERT graines ""COOK"" 40g* | Jus 100% multi fruits"
FRANCE|BENELUX,ready_to_drink_beverages,82,"Boisson à la pomme, sucrée, aromatisée. | Sirop iced tea lemon | Jus orange Carotte | Jus Pommes Pêches | Tropicana 100% oranges pressées avec pulpe format familial 1,5 L | Orange sans pulpe | Pur Jus d'ananas | Nectar poire Williams | Kelly loves Ramune orignal | 100% jus de carotte pomme gingembre"
FRANCE|BENELUX,unknown_beverage_segment,53,"Ananas Meloen | Succo tropicale | Tasty tropical | Tropical fruit | Orange ginger with basil | Aqua+sport, Limette & Grapefruit | Lady Boba | The CLEAN GREEN | Thee Mint Refresh | Roasted Almond"
FRANCE|BENELUX|DACH,beverage_preparations_and_alcohol,3,Irish Lager | Nespresso Vivalto Lungo | Fortissio Lungo
FRANCE|BENELUX|DACH,ready_to_drink_beverages,4,Evian+ Grapefruit & Basil 33cl ALU | Ganic vitamin water | Fast hydratation orange | Instant Ginger Drink x (180g)
FRANCE|BENELUX|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,2,Vodka paradize eden
FRANCE|BENELUX|SOUTHERN_EUROPE,ready_to_drink_beverages,5,Iso peach | Organic Sparkling Cola | Organic Sparkling Cranberry | Organic sparkling orange & lemon | Aloe natural
FRANCE|BENELUX|SOUTHERN_EUROPE,unknown_beverage_segment,3,Alpro Barista Almond | Vruchtenmix | Matcha Latte
FRANCE|BENELUX|SOUTHERN_EUROPE|DACH,beverage_preparations_and_alcohol,1,Chicorée Café
FRANCE|BENELUX|SOUTHERN_EUROPE|DACH,ready_to_drink_beverages,1,Sumol orange
FRANCE|BENELUX|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,1,Rooibos - biologique
FRANCE|BENELUX|UK_IE,beverage_preparations_and_alcohol,2,Farmhouse cider with raspberry | Coconut Milk
FRANCE|BENELUX|UK_IE,ready_to_drink_beverages,1,Organic Sparkling Ginger
FRANCE|BENELUX|US_CANADA,ready_to_drink_beverages,3,Chin chin | Ciel | Ain Saiss Eau Minerale Naturelle
FRANCE|DACH,beverage_preparations_and_alcohol,1354,Tisane nerf - sommeil | Crystal head Vodka | Urucum en poudre | Limoncino Bottega | Coconut Cream | Ahmad Tea Special Blend 100 Tea Bags 200G | Tee- Cardamom Tea | bière 2 | Plantes à infusion Bonne nuit | Of London Camomile Honey & Vanilla
FRANCE|DACH,ready_to_drink_beverages,1583,Vegan plus sostituto del pasto | 30 Panach' Fruits | Pistou d'ail des ours | Francais | Jus de pommes | lvaufy | Havanna Club 3 Jahre | Mangonektar | Coconut water | mogu mogu
FRANCE|DACH,unknown_beverage_segment,731,Volle yoghurt | Snep plus | Buttermilk pancake & waffle mix | ciprofloxacin eye drops | pasta | latte | Tabasco Brand Pepper Sauce | Garnel | Club-mate Granat | Sélection Bien-Être
FRANCE|DACH|BENELUX,beverage_preparations_and_alcohol,20,"Campari Bitter | Weißbier | Oettinger Pils | Paulaner Hefeweissbier hell | Kakao | Lait De Coco Nature | Crème Chocolat Luxe Baileys 15.7% 50 cl, 1 Bouteille | Lemon, ginger & manuka honey (20 sachets) | Caotina Original | Envivo lungo"
FRANCE|DACH|BENELUX,ready_to_drink_beverages,11,"Caprisun Jungle Drink | Maracuja Saft | Coco juice | Coca-Cola Zero Sugar 0,5 Liter | Provamel Biologischer Mandeldrink 1L | Soya Drink Nature | cola zero | Pastis der Marseille | Multivitamine Mixed Fruits Nectar | Orangensaft"
FRANCE|DACH|BENELUX,unknown_beverage_segment,5,Cresoy soya | Ahornsirup Grad A | Kokos. Mandel. | Helder bruisend watermeloen smaak
FRANCE|DACH|BENELUX|NORDICS,beverage_preparations_and_alcohol,1,Arpeggio 2 Stangen
FRANCE|DACH|BENELUX|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Soya. Calcium.
FRANCE|DACH|BENELUX|UK_IE,ready_to_drink_beverages,1,Café moulu aromatisé saveur noisette
FRANCE|DACH|BENELUX|US_CANADA,beverage_preparations_and_alcohol,1,Coconut Milk
FRANCE|DACH|NORDICS,beverage_preparations_and_alcohol,4,Jasmine green tea | Oban Single Malt Scotch Whisky | Oboy | Pepsi Max Soda Mix
FRANCE|DACH|NORDICS,ready_to_drink_beverages,5,Café bio fairglobe | 7up soda mix sugarfree | Pepsi Max Lime soda mix | Ice Tea - Pfirsich | Multivitamin
FRANCE|DACH|NORDICS,unknown_beverage_segment,3,Blabars Soppa | The Peach edition
FRANCE|DACH|NORDICS|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,1,English Breakfast tea
FRANCE|DACH|NORDICS|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,1,Boisson pour le sport
FRANCE|DACH|NORDICS|UK_IE,beverage_preparations_and_alcohol,1,Peroni Nastro Azzurro Beer
FRANCE|DACH|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,83,Boisson instantanée à base de thé | Tè verde - Gunpowder Green Tea | Yerba Mate | Boisson concentrée à base d'airelles rouges | Peppermint tea with cocoa | Alkohol Amaretto | Crème de whisky | Bio Fruit Infusion | Espresso | Anise Ground Belbake
