review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts,scenario_c_proposed_treatment,scenario_c_review_status,scenario_c_rationale
23,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968053117,Zitrone fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/805/3117/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,0.0,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
24,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000120977,Fanta Zero,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/012/0977/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,6.8,3.2,0.32,0.32,0.0,1.7,0.0,1.7,0.0,,0.0,0.0,17.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
25,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3092719701443,Sirop de pamplemousse rose zero sucres,teisseire,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/309/271/970/1443/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,3.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,,0.01,0.0,16.666666666666664,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
26,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,31200457011,Cranberry 0% sucres ajoutés,ocean spray,Ocean Spray,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/003/120/045/7011/front_fr.56.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,6.0,4.0,0.4,0.4,0.0,1.5,0.0,1.5,0.0,0.0,0.04,0.0,15.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
27,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000235367,Fanta zero orange,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/023/5367/front_fr.37.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,3.0,1.6,1.4,0.4666666666666666,0.4666666666666666,0.0,0.4,0.0,0.4,0.0,,0.01,0.0,13.333333333333334,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
28,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480002686,Schweppes Zero Agrum',schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/000/2686/front_en.155.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
29,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480196248,"SCHWEPPES AGRUMES ZERO 1,5L",s.a schweppes international,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/019/6248/front_fr.32.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
30,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3595801321081,Schweppes Agrum' Zero,schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/359/580/132/1081/front_fr.10.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
31,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410221205194,Schweppes Zero agrumes,schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/022/120/5194/front_fr.17.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
32,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8722700129523,Lipton Thé Vert Classique Goût Léger & Subtil 50 Sachets,lipton,LIPTON Teas and Infusions,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/872/270/012/9523/front_fr.40.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.0,2.0,2.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
33,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5400141393071,Sirop grenadine-cranberry 0%,boni,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/540/014/139/3071/front_fr.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,13.0,5.6,7.4,0.5692307692307692,0.5692307692307692,0.0,1.4,0.0,0.5,0.0,3.6,0.25,0.0,10.769230769230768,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
34,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3245677720678,Grande,auchan,Auchan,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/324/567/772/0678/front_en.15.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
35,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3760324842096,Thé vert menthe,la fourche,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/376/032/484/2096/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
36,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5060229013675,Tisane Bio Amour Pukka,pukka,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/506/022/901/3675/front_fr.22.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
